nom_voltage,nom_temperature,nom_process,related_pin A,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,0,0,0,1,0.016,32,  0.0655582
0.850000,125.000000,1.01,1,1,0,0,0,1,0.032,32,0.0662812
0.850000,125.000000,1.01,1,1,0,0,0,1,0.064,32,0.0671874
0.850000,125.000000,1.01,1,1,0,0,0,1,0.128,32,0.0687099
0.850000,125.000000,1.01,1,1,0,0,0,1,0.256,32,0.0720771
0.850000,125.000000,1.01,1,1,0,0,0,1,0.512,32,0.0804623
0.850000,125.000000,1.01,1,1,0,0,0,1,1.024,32,0.0853457
0.850000,125.000000,1.01,1,1,0,0,0,1,0.016,64,  0.1140624
0.850000,125.000000,1.01,1,1,0,0,0,1,0.032,64,0.1153781
0.850000,125.000000,1.01,1,1,0,0,0,1,0.064,64,0.1160309
0.850000,125.000000,1.01,1,1,0,0,0,1,0.128,64,0.1174884
0.850000,125.000000,1.01,1,1,0,0,0,1,0.256,64,0.1212824
0.850000,125.000000,1.01,1,1,0,0,0,1,0.512,64,0.1288877
0.850000,125.000000,1.01,1,1,0,0,0,1,1.024,64,0.1338385
0.850000,125.000000,1.01,1,1,0,0,0,1,0.016,82,  0.2123870
0.850000,125.000000,1.01,1,1,0,0,0,1,0.032,82,0.2128473
0.850000,125.000000,1.01,1,1,0,0,0,1,0.064,82,0.2133150
0.850000,125.000000,1.01,1,1,0,0,0,1,0.128,82,0.2144347
0.850000,125.000000,1.01,1,1,0,0,0,1,0.256,82,0.2170930
0.850000,125.000000,1.01,1,1,0,0,0,1,0.512,82,0.2251881
0.850000,125.000000,1.01,1,1,0,0,0,1,1.024,82,0.2317194
0.750000,-40.000000,0.99,1,1,1,0,0,0,0.016,0.1,0.0897694
0.750000,-40.000000,0.99,1,1,1,0,0,0,0.032,0.1,0.0955482
0.750000,-40.000000,0.99,1,1,1,0,0,0,0.064,0.1,0.1006354
0.750000,-40.000000,0.99,1,1,1,0,0,0,0.128,0.1,0.1097264
0.750000,-40.000000,0.99,1,1,1,0,0,0,0.256,0.1,0.1254307
0.750000,-40.000000,0.99,1,1,1,0,0,0,0.512,0.1,0.1531340
0.750000,-40.000000,0.99,1,1,1,0,0,0,1.024,0.1,0.1679422
0.750000,-40.000000,0.99,1,1,1,0,0,0,0.016,4,  0.0991818
0.750000,-40.000000,0.99,1,1,1,0,0,0,0.032,4,0.1050167
0.750000,-40.000000,0.99,1,1,1,0,0,0,0.064,4,0.1101942
0.750000,-40.000000,0.99,1,1,1,0,0,0,0.128,4,0.1192789
0.750000,-40.000000,0.99,1,1,1,0,0,0,0.256,4,0.1350739
0.750000,-40.000000,0.99,1,1,1,0,0,0,0.512,4,0.1627408
0.750000,-40.000000,0.99,1,1,1,0,0,0,1.024,4,0.1773731
0.750000,-40.000000,0.99,1,1,1,0,0,0,0.016,8,  0.1188301
0.750000,-40.000000,0.99,1,1,1,0,0,0,0.032,8,0.1246422
0.750000,-40.000000,0.99,1,1,1,0,0,0,0.064,8,0.1298107
0.750000,-40.000000,0.99,1,1,1,0,0,0,0.128,8,0.1389818
0.750000,-40.000000,0.99,1,1,1,0,0,0,0.256,8,0.1547549
0.750000,-40.000000,0.99,1,1,1,0,0,0,0.512,8,0.1826449
0.750000,-40.000000,0.99,1,1,1,0,0,0,1.024,8,0.1971716
0.750000,-40.000000,0.99,1,1,1,0,0,0,0.016,16,  0.1597147
0.750000,-40.000000,0.99,1,1,1,0,0,0,0.032,16,0.1655299
0.750000,-40.000000,0.99,1,1,1,0,0,0,0.064,16,0.1706743
0.750000,-40.000000,0.99,1,1,1,0,0,0,0.128,16,0.1796649
0.750000,-40.000000,0.99,1,1,1,0,0,0,0.256,16,0.1955918
0.750000,-40.000000,0.99,1,1,1,0,0,0,0.512,16,0.2233241
0.750000,-40.000000,0.99,1,1,1,0,0,0,1.024,16,0.2380272
0.750000,-40.000000,0.99,1,1,1,0,0,0,0.016,32,  0.2336734
0.750000,-40.000000,0.99,1,1,1,0,0,0,0.032,32,0.2405739
0.750000,-40.000000,0.99,1,1,1,0,0,0,0.064,32,0.2463005
0.750000,-40.000000,0.99,1,1,1,0,0,0,0.128,32,0.2564204
0.750000,-40.000000,0.99,1,1,1,0,0,0,0.256,32,0.2727647
0.750000,-40.000000,0.99,1,1,1,0,0,0,0.512,32,0.3006533
0.750000,-40.000000,0.99,1,1,1,0,0,0,1.024,32,0.3152843
0.750000,-40.000000,0.99,1,1,1,0,0,0,0.016,64,  0.3422295
0.750000,-40.000000,0.99,1,1,1,0,0,0,0.032,64,0.3518755
0.750000,-40.000000,0.99,1,1,1,0,0,0,0.064,64,0.3598130
0.750000,-40.000000,0.99,1,1,1,0,0,0,0.128,64,0.3727892
0.750000,-40.000000,0.99,1,1,1,0,0,0,0.256,64,0.3930734
0.750000,-40.000000,0.99,1,1,1,0,0,0,0.512,64,0.4246438
0.750000,-40.000000,0.99,1,1,1,0,0,0,1.024,64,0.4403158
0.750000,-40.000000,0.99,1,1,1,0,0,0,0.016,82,  0.4905328
0.750000,-40.000000,0.99,1,1,1,0,0,0,0.032,82,0.5055653
0.750000,-40.000000,0.99,1,1,1,0,0,0,0.064,82,0.5177760
0.750000,-40.000000,0.99,1,1,1,0,0,0,0.128,82,0.5373299
0.750000,-40.000000,0.99,1,1,1,0,0,0,0.256,82,0.5652309
0.750000,-40.000000,0.99,1,1,1,0,0,0,0.512,82,0.6058224
0.750000,-40.000000,0.99,1,1,1,0,0,0,1.024,82,0.6248363
0.750000,-40.000000,0.99,1,1,0,1,0,0,0.016,0.1,0.0516168
0.750000,-40.000000,0.99,1,1,0,1,0,0,0.032,0.1,0.0573928
0.750000,-40.000000,0.99,1,1,0,1,0,0,0.064,0.1,0.0630502
0.750000,-40.000000,0.99,1,1,0,1,0,0,0.128,0.1,0.0743068
0.750000,-40.000000,0.99,1,1,0,1,0,0,0.256,0.1,0.0965275
0.750000,-40.000000,0.99,1,1,0,1,0,0,0.512,0.1,0.1409996
0.750000,-40.000000,0.99,1,1,0,1,0,0,1.024,0.1,0.1662853
0.750000,-40.000000,0.99,1,1,0,1,0,0,0.016,4,  0.0512682
0.750000,-40.000000,0.99,1,1,0,1,0,0,0.032,4,0.0572626
0.750000,-40.000000,0.99,1,1,0,1,0,0,0.064,4,0.0630636
0.750000,-40.000000,0.99,1,1,0,1,0,0,0.128,4,0.0743114
0.750000,-40.000000,0.99,1,1,0,1,0,0,0.256,4,0.0963886
0.750000,-40.000000,0.99,1,1,0,1,0,0,0.512,4,0.1409425
0.750000,-40.000000,0.99,1,1,0,1,0,0,1.024,4,0.1663395
0.750000,-40.000000,0.99,1,1,0,1,0,0,0.016,8,  0.0514116
0.750000,-40.000000,0.99,1,1,0,1,0,0,0.032,8,0.0573151
0.750000,-40.000000,0.99,1,1,0,1,0,0,0.064,8,0.0630380
0.750000,-40.000000,0.99,1,1,0,1,0,0,0.128,8,0.0744102
0.750000,-40.000000,0.99,1,1,0,1,0,0,0.256,8,0.0964849
0.750000,-40.000000,0.99,1,1,0,1,0,0,0.512,8,0.1408692
0.750000,-40.000000,0.99,1,1,0,1,0,0,1.024,8,0.1663978
0.750000,-40.000000,0.99,1,1,0,1,0,0,0.016,16,  0.0527263
0.750000,-40.000000,0.99,1,1,0,1,0,0,0.032,16,0.0584372
0.750000,-40.000000,0.99,1,1,0,1,0,0,0.064,16,0.0639757
0.750000,-40.000000,0.99,1,1,0,1,0,0,0.128,16,0.0752682
0.750000,-40.000000,0.99,1,1,0,1,0,0,0.256,16,0.0972371
0.750000,-40.000000,0.99,1,1,0,1,0,0,0.512,16,0.1414872
0.750000,-40.000000,0.99,1,1,0,1,0,0,1.024,16,0.1666551
0.750000,-40.000000,0.99,1,1,0,1,0,0,0.016,32,  0.0716171
0.750000,-40.000000,0.99,1,1,0,1,0,0,0.032,32,0.0753421
0.750000,-40.000000,0.99,1,1,0,1,0,0,0.064,32,0.0797357
0.750000,-40.000000,0.99,1,1,0,1,0,0,0.128,32,0.0883923
0.750000,-40.000000,0.99,1,1,0,1,0,0,0.256,32,0.1069693
0.750000,-40.000000,0.99,1,1,0,1,0,0,0.512,32,0.1473837
0.750000,-40.000000,0.99,1,1,0,1,0,0,1.024,32,0.1717100
0.750000,-40.000000,0.99,1,1,0,1,0,0,0.016,64,  0.1160050
0.750000,-40.000000,0.99,1,1,0,1,0,0,0.032,64,0.1192884
0.750000,-40.000000,0.99,1,1,0,1,0,0,0.064,64,0.1224312
0.750000,-40.000000,0.99,1,1,0,1,0,0,0.128,64,0.1299175
0.750000,-40.000000,0.99,1,1,0,1,0,0,0.256,64,0.1451120
0.750000,-40.000000,0.99,1,1,0,1,0,0,0.512,64,0.1788758
0.750000,-40.000000,0.99,1,1,0,1,0,0,1.024,64,0.1989297
0.750000,-40.000000,0.99,1,1,0,1,0,0,0.016,82,  0.1954314
0.750000,-40.000000,0.99,1,1,0,1,0,0,0.032,82,0.1987959
0.750000,-40.000000,0.99,1,1,0,1,0,0,0.064,82,0.2017140
0.750000,-40.000000,0.99,1,1,0,1,0,0,0.128,82,0.2085181
0.750000,-40.000000,0.99,1,1,0,1,0,0,0.256,82,0.2212202
0.750000,-40.000000,0.99,1,1,0,1,0,0,0.512,82,0.2485539
0.750000,-40.000000,0.99,1,1,0,1,0,0,1.024,82,0.2661635
0.750000,-40.000000,0.99,1,1,0,0,1,0,0.016,0.1,0.1015453
0.750000,-40.000000,0.99,1,1,0,0,1,0,0.032,0.1,0.1084896
0.750000,-40.000000,0.99,1,1,0,0,1,0,0.064,0.1,0.1143688
0.750000,-40.000000,0.99,1,1,0,0,1,0,0.128,0.1,0.1240184
0.750000,-40.000000,0.99,1,1,0,0,1,0,0.256,0.1,0.1392198
0.750000,-40.000000,0.99,1,1,0,0,1,0,0.512,0.1,0.1631131
0.750000,-40.000000,0.99,1,1,0,0,1,0,1.024,0.1,0.1750139
0.750000,-40.000000,0.99,1,1,0,0,1,0,0.016,4,  0.1123861
0.750000,-40.000000,0.99,1,1,0,0,1,0,0.032,4,0.1192896
0.750000,-40.000000,0.99,1,1,0,0,1,0,0.064,4,0.1252448
0.750000,-40.000000,0.99,1,1,0,0,1,0,0.128,4,0.1349736
0.750000,-40.000000,0.99,1,1,0,0,1,0,0.256,4,0.1502655
0.750000,-40.000000,0.99,1,1,0,0,1,0,0.512,4,0.1742317
0.750000,-40.000000,0.99,1,1,0,0,1,0,1.024,4,0.1856954
0.750000,-40.000000,0.99,1,1,0,0,1,0,0.016,8,  0.1345405
0.750000,-40.000000,0.99,1,1,0,0,1,0,0.032,8,0.1415383
0.750000,-40.000000,0.99,1,1,0,0,1,0,0.064,8,0.1474296
0.750000,-40.000000,0.99,1,1,0,0,1,0,0.128,8,0.1572219
0.750000,-40.000000,0.99,1,1,0,0,1,0,0.256,8,0.1725858
0.750000,-40.000000,0.99,1,1,0,0,1,0,0.512,8,0.1966640
0.750000,-40.000000,0.99,1,1,0,0,1,0,1.024,8,0.2081880
0.750000,-40.000000,0.99,1,1,0,0,1,0,0.016,16,  0.1805243
0.750000,-40.000000,0.99,1,1,0,0,1,0,0.032,16,0.1874228
0.750000,-40.000000,0.99,1,1,0,0,1,0,0.064,16,0.1934561
0.750000,-40.000000,0.99,1,1,0,0,1,0,0.128,16,0.2034543
0.750000,-40.000000,0.99,1,1,0,0,1,0,0.256,16,0.2188870
0.750000,-40.000000,0.99,1,1,0,0,1,0,0.512,16,0.2426982
0.750000,-40.000000,0.99,1,1,0,0,1,0,1.024,16,0.2544149
0.750000,-40.000000,0.99,1,1,0,0,1,0,0.016,32,  0.2729635
0.750000,-40.000000,0.99,1,1,0,0,1,0,0.032,32,0.2804291
0.750000,-40.000000,0.99,1,1,0,0,1,0,0.064,32,0.2867769
0.750000,-40.000000,0.99,1,1,0,0,1,0,0.128,32,0.2973972
0.750000,-40.000000,0.99,1,1,0,0,1,0,0.256,32,0.3133466
0.750000,-40.000000,0.99,1,1,0,0,1,0,0.512,32,0.3377890
0.750000,-40.000000,0.99,1,1,0,0,1,0,1.024,32,0.3497444
0.750000,-40.000000,0.99,1,1,0,0,1,0,0.016,64,  0.4279856
0.750000,-40.000000,0.99,1,1,0,0,1,0,0.032,64,0.4397068
0.750000,-40.000000,0.99,1,1,0,0,1,0,0.064,64,0.4494763
0.750000,-40.000000,0.99,1,1,0,0,1,0,0.128,64,0.4652994
0.750000,-40.000000,0.99,1,1,0,0,1,0,0.256,64,0.4884335
0.750000,-40.000000,0.99,1,1,0,0,1,0,0.512,64,0.5194369
0.750000,-40.000000,0.99,1,1,0,0,1,0,1.024,64,0.5319687
0.750000,-40.000000,0.99,1,1,0,0,1,0,0.016,82,  0.6741967
0.750000,-40.000000,0.99,1,1,0,0,1,0,0.032,82,0.6927963
0.750000,-40.000000,0.99,1,1,0,0,1,0,0.064,82,0.7079872
0.750000,-40.000000,0.99,1,1,0,0,1,0,0.128,82,0.7322078
0.750000,-40.000000,0.99,1,1,0,0,1,0,0.256,82,0.7671619
0.750000,-40.000000,0.99,1,1,0,0,1,0,0.512,82,0.8153507
0.750000,-40.000000,0.99,1,1,0,0,1,0,1.024,82,0.8351595
0.750000,-40.000000,0.99,1,1,0,0,0,1,0.016,0.1,0.0570484
0.750000,-40.000000,0.99,1,1,0,0,0,1,0.032,0.1,0.0622692
0.750000,-40.000000,0.99,1,1,0,0,0,1,0.064,0.1,0.0669744
0.750000,-40.000000,0.99,1,1,0,0,0,1,0.128,0.1,0.0758581
0.750000,-40.000000,0.99,1,1,0,0,0,1,0.256,0.1,0.0897911
0.750000,-40.000000,0.99,1,1,0,0,0,1,0.512,0.1,0.1159442
0.750000,-40.000000,0.99,1,1,0,0,0,1,1.024,0.1,0.1306465
0.750000,-40.000000,0.99,1,1,0,0,0,1,0.016,4,  0.0575954
0.750000,-40.000000,0.99,1,1,0,0,0,1,0.032,4,0.0625964
0.750000,-40.000000,0.99,1,1,0,0,0,1,0.064,4,0.0671273
0.750000,-40.000000,0.99,1,1,0,0,0,1,0.128,4,0.0758997
