nom_voltage,nom_temperature,nom_process,related_pin A,related_pin EN,timing_type combinational,timing_type three_state_enable,timing_type three_state_disable,timing_sense positive_unate,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.032,21.2032,-0.2417621
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.064,21.2032,-0.2416884
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.128,21.2032,-0.2415406
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.256,21.2032,-0.2412440
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.512,21.2032,-0.2406471
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,1.024,21.2032,-0.2394415
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.016,13.3032,0.0070495
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.032,13.3032,0.0070550
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.064,13.3032,0.0070642
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.128,13.3032,0.0070828
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.256,13.3032,0.0071244
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.512,13.3032,0.0072119
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,1.024,13.3032,0.0073933
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.016,13.4532, 0.0071607
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.032,13.4532,0.0071643
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.064,13.4532,0.0071704
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.128,13.4532,0.0071826
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.256,13.4532,0.0072291
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.512,13.4532,0.0073458
