nom_voltage,nom_temperature,nom_process,related_pin A,timing_type combinational,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.064,1,0.0189688
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.128,1,0.0206228
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.256,1,0.0241537
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.512,1,0.0321947
0.850000,125.000000,1.01,1,1,1,0,1,0,0,1.024,1,0.0500939
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.016,2, 0.0245768
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.032,2,0.0250108
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.064,2,0.0258553
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.128,2,0.0271492
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.256,2,0.0303290
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.512,2,0.0373157
0.850000,125.000000,1.01,1,1,1,0,1,0,0,1.024,2,0.0535637
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.016,4, 0.0370334
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.032,4,0.0377415
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.064,4,0.0384425
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.128,4,0.0398302
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.256,4,0.0426427
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.512,4,0.0491150
0.850000,125.000000,1.01,1,1,1,0,1,0,0,1.024,4,0.0638722
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.016,8, 0.0609622
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.032,8,0.0614949
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.064,8,0.0621005
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.128,8,0.0635075
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.256,8,0.0666451
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.512,8,0.0728221
0.850000,125.000000,1.01,1,1,1,0,1,0,0,1.024,8,0.0869012
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.016,16, 0.1056745
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.032,16,0.1061948
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.064,16,0.1067163
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.128,16,0.1080236
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.256,16,0.1115935
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.512,16,0.1195767
0.850000,125.000000,1.01,1,1,1,0,1,0,0,1.024,16,0.1333421
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.016,32, 0.1943222
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.032,32,0.1949174
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.064,32,0.1954270
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.128,32,0.1968578
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.256,32,0.1997938
