nom_voltage,nom_temperature,nom_process,related_pin RIN,timing_type non_seq_setup_falling,timing_type non_seq_hold_rising,rise_constraint,output_load,input_slope,value
0.750000,-40.000000,0.99,1,0,1,1,0.1280000,0.0640000,-1.8344948
0.750000,-40.000000,0.99,1,0,1,1,0.2560000,0.0640000,-1.7575167
0.750000,-40.000000,0.99,1,0,1,1,0.5120000,0.0640000,-1.5996571
0.750000,-40.000000,0.99,1,0,1,1,1.0240000,0.0640000,-1.2729497
0.750000,-40.000000,0.99,1,0,1,1,0.0160000,0.1280000, -1.9515611
0.750000,-40.000000,0.99,1,0,1,1,0.0320000,0.1280000,-1.9395558
0.750000,-40.000000,0.99,1,0,1,1,0.0640000,0.1280000,-1.9233148
0.750000,-40.000000,0.99,1,0,1,1,0.1280000,0.1280000,-1.8789064
0.750000,-40.000000,0.99,1,0,1,1,0.2560000,0.1280000,-1.8019283
0.750000,-40.000000,0.99,1,0,1,1,0.5120000,0.1280000,-1.6440685
0.750000,-40.000000,0.99,1,0,1,1,1.0240000,0.1280000,-1.3213404
0.750000,-40.000000,0.99,1,0,1,1,0.0160000,0.2560000, -2.0402582
0.750000,-40.000000,0.99,1,0,1,1,0.0320000,0.2560000,-2.0243465
0.750000,-40.000000,0.99,1,0,1,1,0.0640000,0.2560000,-2.0120119
0.750000,-40.000000,0.99,1,0,1,1,0.1280000,0.2560000,-1.9676034
0.750000,-40.000000,0.99,1,0,1,1,0.2560000,0.2560000,-1.8906252
0.750000,-40.000000,0.99,1,0,1,1,0.5120000,0.2560000,-1.7288593
0.750000,-40.000000,0.99,1,0,1,1,1.0240000,0.2560000,-1.4136258
0.750000,-40.000000,0.99,1,0,1,1,0.0160000,0.5120000, -2.2137430
0.750000,-40.000000,0.99,1,0,1,1,0.0320000,0.5120000,-2.1977964
0.750000,-40.000000,0.99,1,0,1,1,0.0640000,0.5120000,-2.1854967
0.750000,-40.000000,0.99,1,0,1,1,0.1280000,0.5120000,-2.1389868
0.750000,-40.000000,0.99,1,0,1,1,0.2560000,0.5120000,-2.0641100
0.750000,-40.000000,0.99,1,0,1,1,0.5120000,0.5120000,-1.9023441
0.750000,-40.000000,0.99,1,0,1,1,1.0240000,0.5120000,-1.5881063
0.750000,-40.000000,0.99,1,0,1,1,0.0160000,1.0240000, -2.5602562
0.750000,-40.000000,0.99,1,0,1,1,0.0320000,1.0240000,-2.5507416
0.750000,-40.000000,0.99,1,0,1,1,0.0640000,1.0240000,-2.5324254
0.750000,-40.000000,0.99,1,0,1,1,0.1280000,1.0240000,-2.4918840
0.750000,-40.000000,0.99,1,0,1,1,0.2560000,1.0240000,-2.4112414
0.750000,-40.000000,0.99,1,0,1,1,0.5120000,1.0240000,-2.2487934
0.750000,-40.000000,0.99,1,0,1,1,1.0240000,1.0240000,-1.9380635
