nom_voltage,nom_temperature,nom_process,related_pin CLK,timing_type setup_falling,rise_constraint,fall_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0.1280000,1.0240000,-0.0182709
0.850000,125.000000,1.01,1,1,1,0,0.2560000,1.0240000,-0.0054466
0.850000,125.000000,1.01,1,1,1,0,0.5120000,1.0240000,-0.0018886
0.850000,125.000000,1.01,1,1,1,0,1.0240000,1.0240000,-0.0273438
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0160000,0.0352759
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0160000,0.0386697
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0160000,0.0499904
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0160000,0.0683939
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0160000,0.0931761
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0160000,0.1351360
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0160000,0.2111888
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0320000, 0.0314633
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0320000,0.0389350
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0320000,0.0501358
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0320000,0.0645201
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0320000,0.0936165
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0320000,0.1353287
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0320000,0.2074111
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0640000, 0.0321367
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0640000,0.0357706
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0640000,0.0469239
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0640000,0.0651699
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0640000,0.0895893
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0640000,0.1359299
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0640000,0.2084506
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.1280000, 0.0293672
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.1280000,0.0329083
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.1280000,0.0440850
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.1280000,0.0627684
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.1280000,0.0876577
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.1280000,0.1332524
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.1280000,0.2091099
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.2560000, 0.0279185
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.2560000,0.0315228
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.2560000,0.0425472
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.2560000,0.0608749
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.2560000,0.0934889
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.2560000,0.1398037
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.2560000,0.2158339
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.5120000, 0.0328336
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.5120000,0.0364342
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.5120000,0.0514739
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.5120000,0.0698533
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.5120000,0.1025713
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.5120000,0.1520792
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.5120000,0.2447186
0.850000,125.000000,1.01,1,1,0,1,0.0160000,1.0240000, 0.0661012
0.850000,125.000000,1.01,1,1,0,1,0.0320000,1.0240000,0.0697001
0.850000,125.000000,1.01,1,1,0,1,0.0640000,1.0240000,0.0691193
0.850000,125.000000,1.01,1,1,0,1,0.1280000,1.0240000,0.0981627
0.850000,125.000000,1.01,1,1,0,1,0.2560000,1.0240000,0.1280264
0.850000,125.000000,1.01,1,1,0,1,0.5120000,1.0240000,0.2012364
0.850000,125.000000,1.01,1,1,0,1,1.0240000,1.0240000,0.3280350
0.750000,-40.000000,0.99,1,1,1,0,0.0160000,0.0160000,0.2929682
