nom_voltage,nom_temperature,nom_process,related_pin A4,related_pin S0,related_pin S1,timing_sense positive_unate,timing_sense non_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,1,0,0,0,1,0,1.024,2,0.1550051
0.850000,125.000000,1.01,1,0,0,1,0,0,0,1,0,0.016,4, 0.1481947
0.850000,125.000000,1.01,1,0,0,1,0,0,0,1,0,0.032,4,0.1494298
0.850000,125.000000,1.01,1,0,0,1,0,0,0,1,0,0.064,4,0.1508732
0.850000,125.000000,1.01,1,0,0,1,0,0,0,1,0,0.128,4,0.1546553
0.850000,125.000000,1.01,1,0,0,1,0,0,0,1,0,0.256,4,0.1626671
0.850000,125.000000,1.01,1,0,0,1,0,0,0,1,0,0.512,4,0.1761654
0.850000,125.000000,1.01,1,0,0,1,0,0,0,1,0,1.024,4,0.1999318
0.850000,125.000000,1.01,1,0,0,1,0,0,0,1,0,0.016,8, 0.2124740
0.850000,125.000000,1.01,1,0,0,1,0,0,0,1,0,0.032,8,0.2137117
0.850000,125.000000,1.01,1,0,0,1,0,0,0,1,0,0.064,8,0.2158377
0.850000,125.000000,1.01,1,0,0,1,0,0,0,1,0,0.128,8,0.2198651
0.850000,125.000000,1.01,1,0,0,1,0,0,0,1,0,0.256,8,0.2278711
0.850000,125.000000,1.01,1,0,0,1,0,0,0,1,0,0.512,8,0.2428336
0.850000,125.000000,1.01,1,0,0,1,0,0,0,1,0,1.024,8,0.2704473
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,0.016,0.1,0.0284509
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,0.032,0.1,0.0290552
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,0.064,0.1,0.0302303
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,0.128,0.1,0.0326283
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,0.256,0.1,0.0376032
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,0.512,0.1,0.0478875
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,1.024,0.1,0.0692211
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,0.016,0.25, 0.0287929
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,0.032,0.25,0.0293578
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,0.064,0.25,0.0303669
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,0.128,0.25,0.0328346
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,0.256,0.25,0.0378364
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,0.512,0.25,0.0481081
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,1.024,0.25,0.0693498
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,0.016,0.5, 0.0316608
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,0.032,0.5,0.0321812
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,0.064,0.5,0.0332693
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,0.128,0.5,0.0353658
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,0.256,0.5,0.0399354
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,0.512,0.5,0.0496575
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,1.024,0.5,0.0706783
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,0.016,1, 0.0420340
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,0.032,1,0.0425728
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,0.064,1,0.0434823
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,0.128,1,0.0453924
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,0.256,1,0.0498828
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,0.512,1,0.0584191
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,1.024,1,0.0772251
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,0.016,2, 0.0624981
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,0.032,2,0.0633321
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,0.064,2,0.0639605
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,0.128,2,0.0654647
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,0.256,2,0.0687354
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,0.512,2,0.0775688
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,1.024,2,0.0951348
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,0.016,4, 0.0999824
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,0.032,4,0.1002649
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,0.064,4,0.1006857
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,0.128,4,0.1018521
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,0.256,4,0.1054139
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,0.512,4,0.1149614
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,1.024,4,0.1307047
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,0.016,8, 0.1709196
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,0.032,8,0.1711160
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,0.064,8,0.1724370
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,0.128,8,0.1732335
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,0.256,8,0.1761595
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,0.512,8,0.1825849
0.850000,125.000000,1.01,1,0,0,1,0,0,0,0,1,1.024,8,0.2023695
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,0.016,0.1,0.0242618
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,0.032,0.1,0.0251436
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,0.064,0.1,0.0265530
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,0.128,0.1,0.0292612
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,0.256,0.1,0.0342921
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,0.512,0.1,0.0434506
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,1.024,0.1,0.0599126
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,0.016,0.25, 0.0273374
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,0.032,0.25,0.0282255
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,0.064,0.25,0.0296350
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,0.128,0.25,0.0322655
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,0.256,0.25,0.0371724
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,0.512,0.25,0.0460935
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,1.024,0.25,0.0623645
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,0.016,0.5, 0.0308904
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,0.032,0.5,0.0317757
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,0.064,0.5,0.0332175
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,0.128,0.5,0.0358982
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,0.256,0.5,0.0408247
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,0.512,0.5,0.0498335
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,1.024,0.5,0.0661945
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,0.016,1, 0.0344023
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,0.032,1,0.0353527
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,0.064,1,0.0368847
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,0.128,1,0.0398202
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,0.256,1,0.0451460
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,0.512,1,0.0546792
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,1.024,1,0.0715670
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,0.016,2, 0.0360073
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,0.032,2,0.0370751
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,0.064,2,0.0387521
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,0.128,2,0.0420538
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,0.256,2,0.0481619
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,0.512,2,0.0591717
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,1.024,2,0.0777856
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,0.016,4, 0.0334829
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,0.032,4,0.0346247
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,0.064,4,0.0365059
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,0.128,4,0.0401964
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,0.256,4,0.0471979
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,0.512,4,0.0598223
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,1.024,4,0.0818316
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,0.016,8, 0.0212813
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,0.032,8,0.0225009
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,0.064,8,0.0245276
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,0.128,8,0.0285448
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,0.256,8,0.0363786
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,0.512,8,0.0511452
0.850000,125.000000,1.01,0,1,0,0,1,1,0,0,0,1.024,8,0.0773707
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,0.016,0.1,0.0185098
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,0.032,0.1,0.0194234
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,0.064,0.1,0.0209302
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,0.128,0.1,0.0239936
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,0.256,0.1,0.0299849
