nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,related_pin A3,related_pin A4,related_pin A5,related_pin A6,timing_type combinational,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.256,0.5,0.0258571
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.512,0.5,0.0340669
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,1.024,0.5,0.0523715
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.016,1, 0.0198103
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.032,1,0.0203244
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.064,1,0.0210366
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.128,1,0.0227624
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.256,1,0.0263578
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.512,1,0.0344484
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,1.024,1,0.0526667
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.016,2, 0.0233390
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.032,2,0.0238982
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.064,2,0.0246653
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.128,2,0.0262554
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.256,2,0.0296247
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.512,2,0.0371118
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,1.024,2,0.0543420
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.016,4, 0.0314875
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.032,4,0.0320495
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.064,4,0.0326903
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.128,4,0.0340232
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.256,4,0.0370300
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.512,4,0.0440914
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,1.024,4,0.0598599
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.016,8, 0.0461402
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.032,8,0.0466104
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.064,8,0.0472572
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.128,8,0.0485682
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.256,8,0.0516953
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.512,8,0.0582592
