nom_voltage,nom_temperature,nom_process,related_pin D,related_pin ISO,timing_type combinational,timing_sense positive_unate,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.256,4,-0.0082752
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.512,4,0.0046357
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,1.024,4,0.0253476
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.016,8, -0.0830861
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.032,8,-0.0818440
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.064,8,-0.0797883
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.128,8,-0.0757006
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.256,8,-0.0678559
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.512,8,-0.0527522
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,1.024,8,-0.0268851
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.016,0.1,0.0132991
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.032,0.1,0.0139188
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.064,0.1,0.0149300
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.128,0.1,0.0170135
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.256,0.1,0.0214203
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.512,0.1,0.0304730
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,1.024,0.1,0.0497755
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.016,0.25, 0.0159958
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.032,0.25,0.0165245
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.064,0.25,0.0174842
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.128,0.25,0.0194066
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.256,0.25,0.0233988
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.512,0.25,0.0319201
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,1.024,0.25,0.0505129
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.016,0.5, 0.0214063
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.032,0.5,0.0218835
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.064,0.5,0.0226909
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.128,0.5,0.0243289
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.256,0.5,0.0280087
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.512,0.5,0.0360060
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,1.024,0.5,0.0537294
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.016,1, 0.0315626
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.032,1,0.0320878
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.064,1,0.0329703
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.128,1,0.0347283
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.256,1,0.0380142
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.512,1,0.0456343
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,1.024,1,0.0621662
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.016,2, 0.0522984
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.032,2,0.0527495
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.064,2,0.0535161
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.128,2,0.0550690
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.256,2,0.0586582
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.512,2,0.0657808
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,1.024,2,0.0816519
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.016,4, 0.0925107
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.032,4,0.0928739
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.064,4,0.0936661
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.128,4,0.0953958
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.256,4,0.0990334
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.512,4,0.1073818
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,1.024,4,0.1232705
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.016,8, 0.1746468
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.032,8,0.1752131
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.064,8,0.1752131
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.128,8,0.1767303
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.256,8,0.1804857
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.512,8,0.1881885
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,1.024,8,0.2046842
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.016,0.1,0.0239537
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.032,0.1,0.0247689
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.064,0.1,0.0260698
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.128,0.1,0.0285039
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.256,0.1,0.0329392
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.512,0.1,0.0410383
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,1.024,0.1,0.0566476
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.016,0.25, 0.0294869
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.032,0.25,0.0303557
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.064,0.25,0.0317368
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.128,0.25,0.0342203
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.256,0.25,0.0386705
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.512,0.25,0.0466822
