nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,related_pin A3,related_pin A4,related_pin A5,related_pin A6,timing_type combinational,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.256,0.5,0.0592538
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.512,0.5,0.0682022
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,1.024,0.5,0.0839087
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.016,1, 0.0474249
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.032,1,0.0486144
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.064,1,0.0501935
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.128,1,0.0531442
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.256,1,0.0583238
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.512,1,0.0677292
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,1.024,1,0.0839184
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.016,2, 0.0394394
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.032,2,0.0404606
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.064,2,0.0425155
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.128,2,0.0457104
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.256,2,0.0515149
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.512,2,0.0617720
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,1.024,2,0.0794430
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.016,4, 0.0160189
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.032,4,0.0171637
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.064,4,0.0190522
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.128,4,0.0229063
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.256,4,0.0294482
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.512,4,0.0410113
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,1.024,4,0.0613655
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.016,8, -0.0425547
