nom_voltage,nom_temperature,nom_process,related_pin D,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,32, 0.0674787
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,32,0.0689376
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,32,0.0704664
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,32,0.0740570
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,32,0.0798072
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,32,0.0904142
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,32,0.1092093
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,64, 0.0294195
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,64,0.0316216
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,64,0.0333854
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,64,0.0368391
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,64,0.0432784
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,64,0.0554195
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,64,0.0774930
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,0.1,0.0421954
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,0.1,0.0427885
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,0.1,0.0436570
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,0.1,0.0450356
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,0.1,0.0487611
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,0.1,0.0567316
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,0.1,0.0732885
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,2, 0.0418855
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,2,0.0427085
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,2,0.0434383
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,2,0.0449907
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,2,0.0489098
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,2,0.0568824
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,2,0.0734654
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,4, 0.0440727
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,4,0.0447487
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,4,0.0454722
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,4,0.0472710
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,4,0.0507462
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,4,0.0584792
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,4,0.0747446
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,8, 0.0552053
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,8,0.0555361
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,8,0.0559821
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,8,0.0573235
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,8,0.0604158
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,8,0.0669322
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,8,0.0816001
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,16, 0.0744565
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,16,0.0754972
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,16,0.0762319
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,16,0.0772938
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,16,0.0797433
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,16,0.0857885
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,16,0.0985599
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,32, 0.1117225
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,32,0.1123945
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,32,0.1130673
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,32,0.1150428
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,32,0.1174645
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,32,0.1219570
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,32,0.1348840
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,64, 0.1805531
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,64,0.1811782
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,64,0.1831325
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,64,0.1844863
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,64,0.1871074
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,64,0.1923545
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,64,0.2040600
0.850000,125.000000,1.01,1,1,0,0,1,0,0.016,0.1,0.0498840
0.850000,125.000000,1.01,1,1,0,0,1,0,0.032,0.1,0.0513089
0.850000,125.000000,1.01,1,1,0,0,1,0,0.064,0.1,0.0527963
0.850000,125.000000,1.01,1,1,0,0,1,0,0.128,0.1,0.0556912
0.850000,125.000000,1.01,1,1,0,0,1,0,0.256,0.1,0.0611277
0.850000,125.000000,1.01,1,1,0,0,1,0,0.512,0.1,0.0708836
0.850000,125.000000,1.01,1,1,0,0,1,0,1.024,0.1,0.0881272
