nom_voltage,nom_temperature,nom_process,related_pin A2,related_pin S0,timing_sense positive_unate,timing_sense non_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.256,8,0.0249720
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.512,8,0.0392723
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,1.024,8,0.0646281
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0.016,0.1,0.0233203
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0.032,0.1,0.0238885
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0.064,0.1,0.0249415
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0.128,0.1,0.0270781
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0.256,0.1,0.0312769
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0.512,0.1,0.0400682
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1.024,0.1,0.0582016
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0.016,0.25, 0.0240564
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0.032,0.25,0.0245921
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0.064,0.25,0.0256911
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0.128,0.25,0.0278127
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0.256,0.25,0.0319301
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0.512,0.25,0.0405230
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1.024,0.25,0.0586341
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0.016,0.5, 0.0293609
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0.032,0.5,0.0299304
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0.064,0.5,0.0307759
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0.128,0.5,0.0325916
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0.256,0.5,0.0361987
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0.512,0.5,0.0442051
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1.024,0.5,0.0610753
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0.016,1, 0.0405089
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0.032,1,0.0410262
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0.064,1,0.0417808
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0.128,1,0.0433422
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0.256,1,0.0467337
