nom_voltage,nom_temperature,nom_process,related_pin D,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,32,0.0219582
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,32,0.0233219
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,32,0.0259126
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,32,0.0306736
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,32,0.0391483
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,32,0.0537933
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,0.1,0.0212570
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,0.1,0.0218922
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,0.1,0.0228190
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,0.1,0.0246326
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,0.1,0.0285025
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,0.1,0.0369633
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,0.1,0.0547940
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,1, 0.0212558
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,1,0.0219917
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,1,0.0228340
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,1,0.0246511
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,1,0.0286291
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,1,0.0369432
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,1,0.0547421
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,2, 0.0213642
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,2,0.0220492
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,2,0.0229898
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,2,0.0248198
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,2,0.0287595
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,2,0.0371180
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,2,0.0547767
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,4, 0.0219493
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,4,0.0226454
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,4,0.0234773
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,4,0.0253362
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,4,0.0291283
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,4,0.0374838
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,4,0.0550641
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,8, 0.0241308
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,8,0.0247352
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,8,0.0255942
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,8,0.0272851
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,8,0.0308409
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,8,0.0387706
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,8,0.0560849
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,16, 0.0297902
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,16,0.0303868
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,16,0.0310158
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,16,0.0324878
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,16,0.0359730
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,16,0.0430094
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,16,0.0588900
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,32, 0.0421360
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,32,0.0426281
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,32,0.0432043
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,32,0.0443006
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,32,0.0473886
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,32,0.0540347
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,32,0.0683327
0.850000,125.000000,1.01,1,1,0,0,1,0,0.016,0.1,0.0564974
0.850000,125.000000,1.01,1,1,0,0,1,0,0.032,0.1,0.0577907
0.850000,125.000000,1.01,1,1,0,0,1,0,0.064,0.1,0.0591683
0.850000,125.000000,1.01,1,1,0,0,1,0,0.128,0.1,0.0618066
0.850000,125.000000,1.01,1,1,0,0,1,0,0.256,0.1,0.0666510
0.850000,125.000000,1.01,1,1,0,0,1,0,0.512,0.1,0.0753978
0.850000,125.000000,1.01,1,1,0,0,1,0,1.024,0.1,0.0912238
0.850000,125.000000,1.01,1,1,0,0,1,0,0.016,1, 0.0610962
0.850000,125.000000,1.01,1,1,0,0,1,0,0.032,1,0.0623814
0.850000,125.000000,1.01,1,1,0,0,1,0,0.064,1,0.0637625
0.850000,125.000000,1.01,1,1,0,0,1,0,0.128,1,0.0663979
0.850000,125.000000,1.01,1,1,0,0,1,0,0.256,1,0.0712355
0.850000,125.000000,1.01,1,1,0,0,1,0,0.512,1,0.0799617
0.850000,125.000000,1.01,1,1,0,0,1,0,1.024,1,0.0957753
0.850000,125.000000,1.01,1,1,0,0,1,0,0.016,2, 0.0682028
0.850000,125.000000,1.01,1,1,0,0,1,0,0.032,2,0.0694916
0.850000,125.000000,1.01,1,1,0,0,1,0,0.064,2,0.0708639
0.850000,125.000000,1.01,1,1,0,0,1,0,0.128,2,0.0734717
0.850000,125.000000,1.01,1,1,0,0,1,0,0.256,2,0.0782821
0.850000,125.000000,1.01,1,1,0,0,1,0,0.512,2,0.0869553
0.850000,125.000000,1.01,1,1,0,0,1,0,1.024,2,0.1026698
0.850000,125.000000,1.01,1,1,0,0,1,0,0.016,4, 0.0796334
0.850000,125.000000,1.01,1,1,0,0,1,0,0.032,4,0.0809136
0.850000,125.000000,1.01,1,1,0,0,1,0,0.064,4,0.0822819
0.850000,125.000000,1.01,1,1,0,0,1,0,0.128,4,0.0848974
0.850000,125.000000,1.01,1,1,0,0,1,0,0.256,4,0.0897298
0.850000,125.000000,1.01,1,1,0,0,1,0,0.512,4,0.0983734
0.850000,125.000000,1.01,1,1,0,0,1,0,1.024,4,0.1140410
0.850000,125.000000,1.01,1,1,0,0,1,0,0.016,8, 0.0979314
