nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,related_pin A3,timing_type combinational,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,8,0.1501866
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,8,0.1641227
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,16, 0.1915995
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,16,0.1928667
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,16,0.1942491
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,16,0.1969118
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,16,0.2018968
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,16,0.2108089
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,16,0.2264781
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,32, 0.2960719
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,32,0.2974983
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,32,0.2990537
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,32,0.3020719
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,32,0.3077697
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,32,0.3188952
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,32,0.3369648
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.016,0.1,0.0269800
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.032,0.1,0.0276086
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.064,0.1,0.0284329
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.128,0.1,0.0299969
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.256,0.1,0.0336701
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.512,0.1,0.0416729
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,1.024,0.1,0.0591966
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.016,1, 0.0271792
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.032,1,0.0277216
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.064,1,0.0284745
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.128,1,0.0300773
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.256,1,0.0337617
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.512,1,0.0417205
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,1.024,1,0.0592205
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.016,2, 0.0281268
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.032,2,0.0287390
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.064,2,0.0295298
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.128,2,0.0311226
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.256,2,0.0345843
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.512,2,0.0424968
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,1.024,2,0.0596436
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.016,4, 0.0327757
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.032,4,0.0333293
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.064,4,0.0340775
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.128,4,0.0354372
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.256,4,0.0387119
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.512,4,0.0457749
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,1.024,4,0.0619075
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.016,8, 0.0433353
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.032,8,0.0439499
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.064,8,0.0445956
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.128,8,0.0461235
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.256,8,0.0486211
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.512,8,0.0548736
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,1.024,8,0.0693444
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.016,16, 0.0637048
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.032,16,0.0637048
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.064,16,0.0644449
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.128,16,0.0662244
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.256,16,0.0689657
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.512,16,0.0742246
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,1.024,16,0.0873043
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.016,32, 0.1013644
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.032,32,0.1016185
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.064,32,0.1020593
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.128,32,0.1032461
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.256,32,0.1063669
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.512,32,0.1128235
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,1.024,32,0.1253578
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.016,0.1,0.0502097
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.032,0.1,0.0514269
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.064,0.1,0.0527578
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.128,0.1,0.0553313
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.256,0.1,0.0600791
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.512,0.1,0.0687262
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,1.024,0.1,0.0844716
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.016,1, 0.0511774
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.032,1,0.0523946
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.064,1,0.0537029
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.128,1,0.0562535
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.256,1,0.0609890
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.512,1,0.0696359
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,1.024,1,0.0853327
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.016,2, 0.0508132
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.032,2,0.0520274
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.064,2,0.0533517
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.128,2,0.0559146
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.256,2,0.0607360
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.512,2,0.0693806
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,1.024,2,0.0850403
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.016,4, 0.0475913
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.032,4,0.0488764
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.064,4,0.0502171
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.128,4,0.0528066
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.256,4,0.0577398
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.512,4,0.0663744
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,1.024,4,0.0821140
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.016,8, 0.0363552
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.032,8,0.0377088
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.064,8,0.0390469
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.128,8,0.0417121
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.256,8,0.0468988
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.512,8,0.0560731
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,1.024,8,0.0722204
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.016,16, 0.0062277
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.032,16,0.0076079
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.064,16,0.0090861
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.128,16,0.0119860
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.256,16,0.0177376
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.512,16,0.0276215
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,1.024,16,0.0454742
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.016,32, -0.0643355
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.032,32,-0.0628781
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.064,32,-0.0612702
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.128,32,-0.0580958
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.256,32,-0.0519303
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.512,32,-0.0402147
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,1.024,32,-0.0201710
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0.016,0.1,0.0229081
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0.032,0.1,0.0235997
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0.064,0.1,0.0244339
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0.128,0.1,0.0262346
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0.256,0.1,0.0302679
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0.512,0.1,0.0398572
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,1.024,0.1,0.0613696
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0.016,1, 0.0235548
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0.032,1,0.0242066
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0.064,1,0.0249923
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0.128,1,0.0267153
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0.256,1,0.0307509
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0.512,1,0.0401621
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,1.024,1,0.0616288
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0.016,2, 0.0250516
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0.032,2,0.0256968
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0.064,2,0.0264713
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0.128,2,0.0280208
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0.256,2,0.0319994
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0.512,2,0.0411602
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,1.024,2,0.0622397
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0.016,4, 0.0285228
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0.032,4,0.0288463
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0.064,4,0.0295925
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0.128,4,0.0313851
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0.256,4,0.0350237
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0.512,4,0.0437492
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,1.024,4,0.0640865
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0.016,8, 0.0360921
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0.032,8,0.0366369
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0.064,8,0.0374151
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0.128,8,0.0390279
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0.256,8,0.0427442
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0.512,8,0.0506763
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,1.024,8,0.0692273
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0.016,16, 0.0521651
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0.032,16,0.0530690
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0.064,16,0.0536457
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0.128,16,0.0554667
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0.256,16,0.0588147
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0.512,16,0.0660621
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,1.024,16,0.0828135
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0.016,32, 0.0820543
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0.032,32,0.0826605
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0.064,32,0.0833369
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0.128,32,0.0847359
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0.256,32,0.0879634
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0.512,32,0.0959280
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,1.024,32,0.1124612
0.850000,125.000000,1.01,0,1,0,1,1,1,0,0,0,0.016,0.1,0.0624227
0.850000,125.000000,1.01,0,1,0,1,1,1,0,0,0,0.032,0.1,0.0635188
0.850000,125.000000,1.01,0,1,0,1,1,1,0,0,0,0.064,0.1,0.0646916
0.850000,125.000000,1.01,0,1,0,1,1,1,0,0,0,0.128,0.1,0.0669203
0.850000,125.000000,1.01,0,1,0,1,1,1,0,0,0,0.256,0.1,0.0711259
0.850000,125.000000,1.01,0,1,0,1,1,1,0,0,0,0.512,0.1,0.0787729
0.850000,125.000000,1.01,0,1,0,1,1,1,0,0,0,1.024,0.1,0.0926368
0.850000,125.000000,1.01,0,1,0,1,1,1,0,0,0,0.016,1, 0.0688509
0.850000,125.000000,1.01,0,1,0,1,1,1,0,0,0,0.032,1,0.0699501
0.850000,125.000000,1.01,0,1,0,1,1,1,0,0,0,0.064,1,0.0711231
0.850000,125.000000,1.01,0,1,0,1,1,1,0,0,0,0.128,1,0.0733426
0.850000,125.000000,1.01,0,1,0,1,1,1,0,0,0,0.256,1,0.0775376
0.850000,125.000000,1.01,0,1,0,1,1,1,0,0,0,0.512,1,0.0851620
0.850000,125.000000,1.01,0,1,0,1,1,1,0,0,0,1.024,1,0.0990515
0.850000,125.000000,1.01,0,1,0,1,1,1,0,0,0,0.016,2, 0.0818886
0.850000,125.000000,1.01,0,1,0,1,1,1,0,0,0,0.032,2,0.0829616
