nom_voltage,nom_temperature,nom_process,related_pin CLK,timing_type falling_edge,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,2,0.0357251
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,2,0.0380668
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,2,0.0425348
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,2,0.0516503
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,2,0.0699423
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,4, 0.0422487
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,4,0.0430161
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,4,0.0439509
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,4,0.0460243
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,4,0.0503414
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,4,0.0588193
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,4,0.0760866
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,8, 0.0599265
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,8,0.0606435
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,8,0.0615162
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,8,0.0632433
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,8,0.0673328
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,8,0.0757978
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,8,0.0919963
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,16, 0.0949208
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,16,0.0955660
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,16,0.0963961
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,16,0.0981519
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,16,0.1019353
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,16,0.1099624
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,16,0.1261968
0.850000,125.000000,1.01,1,1,0,0,1,0,0.016,0.1,0.0927828
0.850000,125.000000,1.01,1,1,0,0,1,0,0.032,0.1,0.0943161
0.850000,125.000000,1.01,1,1,0,0,1,0,0.064,0.1,0.0962387
0.850000,125.000000,1.01,1,1,0,0,1,0,0.128,0.1,0.0998528
0.850000,125.000000,1.01,1,1,0,0,1,0,0.256,0.1,0.1066574
0.850000,125.000000,1.01,1,1,0,0,1,0,0.512,0.1,0.1186166
0.850000,125.000000,1.01,1,1,0,0,1,0,1.024,0.1,0.1393956
0.850000,125.000000,1.01,1,1,0,0,1,0,0.016,0.5, 0.0976602
0.850000,125.000000,1.01,1,1,0,0,1,0,0.032,0.5,0.0992134
0.850000,125.000000,1.01,1,1,0,0,1,0,0.064,0.5,0.1011205
0.850000,125.000000,1.01,1,1,0,0,1,0,0.128,0.5,0.1047999
0.850000,125.000000,1.01,1,1,0,0,1,0,0.256,0.5,0.1115471
0.850000,125.000000,1.01,1,1,0,0,1,0,0.512,0.5,0.1235106
0.850000,125.000000,1.01,1,1,0,0,1,0,1.024,0.5,0.1443023
0.850000,125.000000,1.01,1,1,0,0,1,0,0.016,1, 0.1053899
0.850000,125.000000,1.01,1,1,0,0,1,0,0.032,1,0.1069149
0.850000,125.000000,1.01,1,1,0,0,1,0,0.064,1,0.1088130
0.850000,125.000000,1.01,1,1,0,0,1,0,0.128,1,0.1124399
0.850000,125.000000,1.01,1,1,0,0,1,0,0.256,1,0.1191892
0.850000,125.000000,1.01,1,1,0,0,1,0,0.512,1,0.1311737
0.850000,125.000000,1.01,1,1,0,0,1,0,1.024,1,0.1519647
0.850000,125.000000,1.01,1,1,0,0,1,0,0.016,2, 0.1168445
0.850000,125.000000,1.01,1,1,0,0,1,0,0.032,2,0.1183791
0.850000,125.000000,1.01,1,1,0,0,1,0,0.064,2,0.1202571
0.850000,125.000000,1.01,1,1,0,0,1,0,0.128,2,0.1238732
0.850000,125.000000,1.01,1,1,0,0,1,0,0.256,2,0.1306286
0.850000,125.000000,1.01,1,1,0,0,1,0,0.512,2,0.1425501
0.850000,125.000000,1.01,1,1,0,0,1,0,1.024,2,0.1633012
0.850000,125.000000,1.01,1,1,0,0,1,0,0.016,4, 0.1351961
0.850000,125.000000,1.01,1,1,0,0,1,0,0.032,4,0.1367512
0.850000,125.000000,1.01,1,1,0,0,1,0,0.064,4,0.1386474
0.850000,125.000000,1.01,1,1,0,0,1,0,0.128,4,0.1422731
0.850000,125.000000,1.01,1,1,0,0,1,0,0.256,4,0.1489484
0.850000,125.000000,1.01,1,1,0,0,1,0,0.512,4,0.1608152
0.850000,125.000000,1.01,1,1,0,0,1,0,1.024,4,0.1814627
0.850000,125.000000,1.01,1,1,0,0,1,0,0.016,8, 0.1656124
0.850000,125.000000,1.01,1,1,0,0,1,0,0.032,8,0.1671532
0.850000,125.000000,1.01,1,1,0,0,1,0,0.064,8,0.1691633
0.850000,125.000000,1.01,1,1,0,0,1,0,0.128,8,0.1728299
0.850000,125.000000,1.01,1,1,0,0,1,0,0.256,8,0.1795119
0.850000,125.000000,1.01,1,1,0,0,1,0,0.512,8,0.1914109
0.850000,125.000000,1.01,1,1,0,0,1,0,1.024,8,0.2120791
0.850000,125.000000,1.01,1,1,0,0,1,0,0.016,16, 0.2184455
0.850000,125.000000,1.01,1,1,0,0,1,0,0.032,16,0.2200344
0.850000,125.000000,1.01,1,1,0,0,1,0,0.064,16,0.2219263
0.850000,125.000000,1.01,1,1,0,0,1,0,0.128,16,0.2256615
0.850000,125.000000,1.01,1,1,0,0,1,0,0.256,16,0.2324904
0.850000,125.000000,1.01,1,1,0,0,1,0,0.512,16,0.2447862
0.850000,125.000000,1.01,1,1,0,0,1,0,1.024,16,0.2660476
0.850000,125.000000,1.01,1,1,0,0,0,1,0.016,0.1,0.0424431
0.850000,125.000000,1.01,1,1,0,0,0,1,0.032,0.1,0.0430795
0.850000,125.000000,1.01,1,1,0,0,0,1,0.064,0.1,0.0439662
0.850000,125.000000,1.01,1,1,0,0,0,1,0.128,0.1,0.0461635
0.850000,125.000000,1.01,1,1,0,0,0,1,0.256,0.1,0.0509902
0.850000,125.000000,1.01,1,1,0,0,0,1,0.512,0.1,0.0612747
0.850000,125.000000,1.01,1,1,0,0,0,1,1.024,0.1,0.0827367
0.850000,125.000000,1.01,1,1,0,0,0,1,0.016,0.5, 0.0425786
0.850000,125.000000,1.01,1,1,0,0,0,1,0.032,0.5,0.0432320
0.850000,125.000000,1.01,1,1,0,0,0,1,0.064,0.5,0.0440819
0.850000,125.000000,1.01,1,1,0,0,0,1,0.128,0.5,0.0461194
0.850000,125.000000,1.01,1,1,0,0,0,1,0.256,0.5,0.0509288
0.850000,125.000000,1.01,1,1,0,0,0,1,0.512,0.5,0.0613344
0.850000,125.000000,1.01,1,1,0,0,0,1,1.024,0.5,0.0827028
0.850000,125.000000,1.01,1,1,0,0,0,1,0.016,1, 0.0426120
0.850000,125.000000,1.01,1,1,0,0,0,1,0.032,1,0.0431625
0.850000,125.000000,1.01,1,1,0,0,0,1,0.064,1,0.0441618
0.850000,125.000000,1.01,1,1,0,0,0,1,0.128,1,0.0462030
0.850000,125.000000,1.01,1,1,0,0,0,1,0.256,1,0.0510064
0.850000,125.000000,1.01,1,1,0,0,0,1,0.512,1,0.0613783
0.850000,125.000000,1.01,1,1,0,0,0,1,1.024,1,0.0827543
0.850000,125.000000,1.01,1,1,0,0,0,1,0.016,2, 0.0424031
