nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,related_pin A3,related_pin A4,related_pin A5,related_pin A6,timing_type combinational,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.064,0.1,0.0782776
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.128,0.1,0.0809634
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.256,0.1,0.0859148
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.512,0.1,0.0945174
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,1.024,0.1,0.1100628
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.016,0.25, 0.0785117
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.032,0.25,0.0794297
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.064,0.25,0.0808998
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.128,0.25,0.0836454
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.256,0.25,0.0885990
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.512,0.25,0.0971781
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,1.024,0.25,0.1127303
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.016,0.5, 0.0853748
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.032,0.5,0.0862920
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.064,0.5,0.0877688
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.128,0.5,0.0904683
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.256,0.5,0.0953262
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.512,0.5,0.1039411
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,1.024,0.5,0.1194733
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.016,1, 0.0960647
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.032,1,0.0969866
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.064,1,0.0984645
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.128,1,0.1012369
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.256,1,0.1062894
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.512,1,0.1150053
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,1.024,1,0.1305790
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.016,2, 0.1094079
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.032,2,0.1103956
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.064,2,0.1118047
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.128,2,0.1149156
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.256,2,0.1202951
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.512,2,0.1296373
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,1.024,2,0.1456495
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.016,4, 0.1257929
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.032,4,0.1268256
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.064,4,0.1285164
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.128,4,0.1317441
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.256,4,0.1375552
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.512,4,0.1480886
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,1.024,4,0.1656012
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.016,8, 0.1456011
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.032,8,0.1466692
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.064,8,0.1485424
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.128,8,0.1522093
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.256,8,0.1588834
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.512,8,0.1707359
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,1.024,8,0.1913533
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.016,0.1,0.0195828
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.032,0.1,0.0202502
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.064,0.1,0.0213996
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.128,0.1,0.0235500
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.256,0.1,0.0279822
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.512,0.1,0.0375818
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,1.024,0.1,0.0594833
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.016,0.25, 0.0196146
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.032,0.25,0.0202219
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.064,0.25,0.0212644
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.128,0.25,0.0233775
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.256,0.25,0.0279291
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.512,0.25,0.0375702
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,1.024,0.25,0.0595596
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.016,0.5, 0.0197503
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.032,0.5,0.0203375
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.064,0.5,0.0214232
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.128,0.5,0.0236865
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.256,0.5,0.0280097
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.512,0.5,0.0376378
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,1.024,0.5,0.0596185
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.016,1, 0.0225144
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.032,1,0.0230938
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.064,1,0.0241541
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.128,1,0.0262581
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.256,1,0.0305287
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.512,1,0.0396572
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,1.024,1,0.0608441
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.016,2, 0.0279813
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.032,2,0.0286953
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.064,2,0.0296231
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.128,2,0.0318056
