nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,timing_type combinational,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.064,0.1,0.0259618
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.128,0.1,0.0283186
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.256,0.1,0.0326460
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.512,0.1,0.0406810
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,1.024,0.1,0.0563595
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.016,0.25, 0.0277617
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.032,0.25,0.0285980
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.064,0.25,0.0299223
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.128,0.25,0.0322866
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.256,0.25,0.0366248
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.512,0.25,0.0445870
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,1.024,0.25,0.0600659
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.016,0.5, 0.0324131
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.032,0.5,0.0332936
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.064,0.5,0.0348084
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.128,0.5,0.0374046
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.256,0.5,0.0421328
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.512,0.5,0.0506396
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,1.024,0.5,0.0661350
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.016,1, 0.0380594
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.032,1,0.0390223
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.064,1,0.0407619
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.128,1,0.0435356
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.256,1,0.0488988
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.512,1,0.0583865
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,1.024,1,0.0750450
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.016,2, 0.0436276
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.032,2,0.0446828
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.064,2,0.0464150
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.128,2,0.0499608
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.256,2,0.0561342
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.512,2,0.0671906
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,1.024,2,0.0862071
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.016,4, 0.0490195
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.032,4,0.0501344
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.064,4,0.0520336
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.128,4,0.0560618
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.256,4,0.0631430
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.512,4,0.0760985
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,1.024,4,0.0987466
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.016,8, 0.0524279
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.032,8,0.0536532
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.064,8,0.0557062
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.128,8,0.0597251
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.256,8,0.0680065
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.512,8,0.0830576
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,1.024,8,0.1100800
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.016,0.1,0.0105963
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.032,0.1,0.0113404
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.064,0.1,0.0126093
