nom_voltage,nom_temperature,nom_process,related_pin CLK,timing_type setup_rising,rise_constraint,fall_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0.0320000,1.0240000,0.1165467
0.850000,125.000000,1.01,1,1,1,0,0.0640000,1.0240000,0.1199164
0.850000,125.000000,1.01,1,1,1,0,0.1280000,1.0240000,0.1417868
0.850000,125.000000,1.01,1,1,1,0,0.2560000,1.0240000,0.1545862
0.850000,125.000000,1.01,1,1,1,0,0.5120000,1.0240000,0.1726749
0.850000,125.000000,1.01,1,1,1,0,1.0240000,1.0240000,0.2028278
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0160000,0.0233121
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0160000,0.0270019
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0160000,0.0380436
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0160000,0.0563784
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0160000,0.0815446
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0160000,0.1195134
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0160000,0.1839020
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0320000, 0.0198197
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0320000,0.0273535
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0320000,0.0383506
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0320000,0.0529518
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0320000,0.0773437
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0320000,0.1161217
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0320000,0.1804008
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0640000, 0.0163792
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0640000,0.0239183
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0640000,0.0351562
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0640000,0.0536616
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0640000,0.0783567
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0640000,0.1120457
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0640000,0.1758062
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.1280000, 0.0176456
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.1280000,0.0250405
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.1280000,0.0362555
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.1280000,0.0549048
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.1280000,0.0797024
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.1280000,0.1142241
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.1280000,0.1707247
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.2560000, 0.0240122
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.2560000,0.0276146
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.2560000,0.0425550
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.2560000,0.0608958
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.2560000,0.0860706
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.2560000,0.1284611
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.2560000,0.1772377
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.5120000, 0.0367398
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.5120000,0.0442442
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.5120000,0.0592877
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.5120000,0.0775814
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.5120000,0.1130301
