nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,timing_type combinational,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,1.024,16,0.1553313
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.016,32, 0.2220781
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.032,32,0.2220781
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.064,32,0.2223989
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.128,32,0.2237041
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.256,32,0.2268932
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.512,32,0.2345766
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,1.024,32,0.2514170
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.016,0.1,0.0384691
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.032,0.1,0.0396580
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.064,0.1,0.0409125
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.128,0.1,0.0433314
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.256,0.1,0.0477950
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.512,0.1,0.0559231
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,1.024,0.1,0.0704315
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.016,1, 0.0401269
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.032,1,0.0412944
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.064,1,0.0425242
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.128,1,0.0448886
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.256,1,0.0492866
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.512,1,0.0572743
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,1.024,1,0.0716581
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.016,2, 0.0418700
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.032,2,0.0430406
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.064,2,0.0442795
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.128,2,0.0466860
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.256,2,0.0511485
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.512,2,0.0591415
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,1.024,2,0.0735447
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.016,4, 0.0409398
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.032,4,0.0421461
