nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,timing_type combinational,timing_sense negative_unate,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.256,1,0.0340662
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.512,1,0.0439885
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,1.024,1,0.0654052
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.016,2, 0.0333676
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.032,2,0.0340742
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.064,2,0.0350750
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.128,2,0.0372461
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.256,2,0.0417585
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.512,2,0.0507486
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,1.024,2,0.0710349
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.016,4, 0.0507017
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.032,4,0.0507184
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.064,4,0.0514187
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.128,4,0.0534226
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.256,4,0.0573912
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.512,4,0.0669792
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,1.024,4,0.0854505
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.016,8, 0.0831559
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.032,8,0.0835084
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.064,8,0.0842317
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.128,8,0.0862964
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.256,8,0.0900397
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.512,8,0.0989946
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,1.024,8,0.1174552
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,0.016,0.1,0.0355159
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,0.032,0.1,0.0364170
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,0.064,0.1,0.0378441
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,0.128,0.1,0.0405368
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,0.256,0.1,0.0453889
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,0.512,0.1,0.0540059
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,1.024,0.1,0.0694249
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,0.016,0.25, 0.0368568
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,0.032,0.25,0.0377468
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,0.064,0.25,0.0391620
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,0.128,0.25,0.0417980
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,0.256,0.25,0.0465773
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,0.512,0.25,0.0551130
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,1.024,0.25,0.0704734
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,0.016,0.5, 0.0379008
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,0.032,0.5,0.0388061
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,0.064,0.5,0.0402502
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,0.128,0.5,0.0429448
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,0.256,0.5,0.0478193
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,0.512,0.5,0.0564729
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,1.024,0.5,0.0718439
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,0.016,1, 0.0361297
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,0.032,1,0.0371351
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,0.064,1,0.0386893
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,0.128,1,0.0414993
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,0.256,1,0.0465614
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,0.512,1,0.0555771
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,1.024,1,0.0714242
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,0.016,2, 0.0262553
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,0.032,2,0.0272781
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,0.064,2,0.0289097
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,0.128,2,0.0319911
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,0.256,2,0.0376835
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,0.512,2,0.0476035
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,1.024,2,0.0646074
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,0.016,4, -0.0029187
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,0.032,4,-0.0018027
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,0.064,4,0.0001338
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,0.128,4,0.0036936
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,0.256,4,0.0103039
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,0.512,4,0.0216349
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,1.024,4,0.0412594
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,0.016,8, -0.0720806
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,0.032,8,-0.0708753
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,0.064,8,-0.0688849
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,0.128,8,-0.0650076
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,0.256,8,-0.0576639
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,0.512,8,-0.0443044
0.850000,125.000000,1.01,0,1,1,0,1,1,0,0,0,1.024,8,-0.0206151
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,0.016,0.1,0.0208801
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,0.032,0.1,0.0215116
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,0.064,0.1,0.0226845
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,0.128,0.1,0.0248990
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,0.256,0.1,0.0295864
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,0.512,0.1,0.0390475
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,1.024,0.1,0.0586505
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,0.016,0.25, 0.0216602
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,0.032,0.25,0.0223224
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,0.064,0.25,0.0233178
