nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,timing_type combinational,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.512,2,0.0342637
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,1.024,2,0.0519477
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.016,4, 0.0272516
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.032,4,0.0277441
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.064,4,0.0283906
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.128,4,0.0297288
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.256,4,0.0331331
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.512,4,0.0401294
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,1.024,4,0.0563788
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.016,8, 0.0397097
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.032,8,0.0401536
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.064,8,0.0407823
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.128,8,0.0423708
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.256,8,0.0459030
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.512,8,0.0524530
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,1.024,8,0.0674500
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.016,16, 0.0628426
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.032,16,0.0633753
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.064,16,0.0647353
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.128,16,0.0664150
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.256,16,0.0698804
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.512,16,0.0763516
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,1.024,16,0.0912798
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.016,0.1,0.0415830
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.032,0.1,0.0427064
