nom_voltage,nom_temperature,nom_process,related_pin A,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,32,0.0693840
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,32,0.0766361
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,32,0.0808741
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,64,  0.0750325
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,64,0.0764936
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,64,0.0778880
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,64,0.0804680
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,64,0.0851555
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,64,0.0934340
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,64,0.0981565
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,128,  0.0961014
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,128,0.0978759
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,128,0.0994913
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,128,0.1025103
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,128,0.1079501
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,128,0.1176760
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,128,0.1231019
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,168,  0.1292327
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,168,0.1309863
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,168,0.1327345
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,168,0.1361462
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,168,0.1426467
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,168,0.1543952
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,168,0.1611121
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,0.1,0.0164982
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,0.1,0.0173483
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,0.1,0.0181444
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,0.1,0.0199480
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,0.1,0.0238383
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,0.1,0.0324854
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,0.1,0.0381446
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,8,  0.0171870
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,8,0.0178854
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,8,0.0187471
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,8,0.0204378
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,8,0.0243773
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,8,0.0328043
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,8,0.0383678
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,16,  0.0199785
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,16,0.0206838
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,16,0.0214253
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,16,0.0229579
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,16,0.0264286
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,16,0.0343159
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,16,0.0395352
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,32,  0.0264124
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,32,0.0270021
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,32,0.0276601
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,32,0.0291271
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,32,0.0323113
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,32,0.0392374
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,32,0.0439573
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,64,  0.0387146
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,64,0.0395154
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,64,0.0402178
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,64,0.0416360
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,64,0.0442302
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,64,0.0506824
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,64,0.0548280
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,128,  0.0612991
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,128,0.0621315
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,128,0.0630913
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,128,0.0647140
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,128,0.0677417
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,128,0.0736005
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,128,0.0777761
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,168,  0.1047076
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,168,0.1052996
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,168,0.1059409
