nom_voltage,nom_temperature,nom_process,related_pin SAVE,related_pin CLK,timing_type removal_falling,fall_constraint,rise_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,1,0,0.5120000,1.0240000,-0.9630551
0.850000,125.000000,1.01,1,0,1,1,0,1.0240000,1.0240000,-1.0283016
0.850000,125.000000,1.01,0,1,1,0,1,0.0160000,0.0160000,0.0039578
0.850000,125.000000,1.01,0,1,1,0,1,0.0320000,0.0160000,0.0001734
0.850000,125.000000,1.01,0,1,1,0,1,0.0640000,0.0160000,-0.0031124
0.850000,125.000000,1.01,0,1,1,0,1,0.1280000,0.0160000,-0.0058238
0.850000,125.000000,1.01,0,1,1,0,1,0.2560000,0.0160000,-0.0187370
0.850000,125.000000,1.01,0,1,1,0,1,0.5120000,0.0160000,-0.0413860
0.850000,125.000000,1.01,0,1,1,0,1,1.0240000,0.0160000,-0.1044588
0.850000,125.000000,1.01,0,1,1,0,1,0.0160000,0.0320000, 0.0075087
0.850000,125.000000,1.01,0,1,1,0,1,0.0320000,0.0320000,0.0038585
0.850000,125.000000,1.01,0,1,1,0,1,0.0640000,0.0320000,0.0005381
0.850000,125.000000,1.01,0,1,1,0,1,0.1280000,0.0320000,-0.0022566
0.850000,125.000000,1.01,0,1,1,0,1,0.2560000,0.0320000,-0.0115408
0.850000,125.000000,1.01,0,1,1,0,1,0.5120000,0.0320000,-0.0376889
0.850000,125.000000,1.01,0,1,1,0,1,1.0240000,0.0320000,-0.1007617
0.850000,125.000000,1.01,0,1,1,0,1,0.0160000,0.0640000, 0.0108999
0.850000,125.000000,1.01,0,1,1,0,1,0.0320000,0.0640000,0.0111044
0.850000,125.000000,1.01,0,1,1,0,1,0.0640000,0.0640000,0.0078942
0.850000,125.000000,1.01,0,1,1,0,1,0.1280000,0.0640000,0.0051852
0.850000,125.000000,1.01,0,1,1,0,1,0.2560000,0.0640000,-0.0082983
0.850000,125.000000,1.01,0,1,1,0,1,0.5120000,0.0640000,-0.0307392
0.850000,125.000000,1.01,0,1,1,0,1,1.0240000,0.0640000,-0.0892378
0.850000,125.000000,1.01,0,1,1,0,1,0.0160000,0.1280000, 0.0174853
0.850000,125.000000,1.01,0,1,1,0,1,0.0320000,0.1280000,0.0176881
0.850000,125.000000,1.01,0,1,1,0,1,0.0640000,0.1280000,0.0145166
