nom_voltage,nom_temperature,nom_process,related_pin A,timing_type combinational,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.032,1,0.0080158
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.064,1,0.0100855
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.128,1,0.0139288
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.256,1,0.0207177
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.512,1,0.0321120
0.850000,125.000000,1.01,1,1,1,0,0,1,0,1.024,1,0.0523969
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.016,2, 0.0057904
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.032,2,0.0081344
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.064,2,0.0106277
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.128,2,0.0152469
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.256,2,0.0231411
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.512,2,0.0370683
0.850000,125.000000,1.01,1,1,1,0,0,1,0,1.024,2,0.0602143
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.016,4, 0.0053145
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.032,4,0.0077327
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.064,4,0.0103813
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.128,4,0.0158098
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.256,4,0.0249976
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.512,4,0.0419399
0.850000,125.000000,1.01,1,1,1,0,0,1,0,1.024,4,0.0697855
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.016,8, 0.0044841
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.032,8,0.0068731
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.064,8,0.0094337
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.128,8,0.0152327
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.256,8,0.0256280
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.512,8,0.0450026
0.850000,125.000000,1.01,1,1,1,0,0,1,0,1.024,8,0.0788257
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.016,16, 0.0029547
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.032,16,0.0050946
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.064,16,0.0079417
