nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,related_pin A3,related_pin A4,related_pin A5,timing_type combinational,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.016,0.5, 0.0393855
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.032,0.5,0.0400556
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.064,0.5,0.0409085
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.128,0.5,0.0427976
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.256,0.5,0.0467217
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.512,0.5,0.0551334
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,1.024,0.5,0.0725707
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.016,1, 0.0409580
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.032,1,0.0416284
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.064,1,0.0425593
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.128,1,0.0443921
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.256,1,0.0482270
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.512,1,0.0563634
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,1.024,1,0.0734664
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.016,2, 0.0512745
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.032,2,0.0519212
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.064,2,0.0526611
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.128,2,0.0542661
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.256,2,0.0575092
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.512,2,0.0646709
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,1.024,2,0.0795717
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.016,4, 0.0707850
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.032,4,0.0714459
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.064,4,0.0722082
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.128,4,0.0736672
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.256,4,0.0762109
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.512,4,0.0820409
