nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,timing_type combinational,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.128,0.5,0.0443675
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.256,0.5,0.0524337
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.512,0.5,0.0733981
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,1.024,0.5,0.1237571
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.016,1, 0.0631964
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.032,1,0.0650378
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.064,1,0.0675242
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.128,1,0.0734500
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.256,1,0.0826521
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.512,1,0.1001473
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,1.024,1,0.1396134
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.016,2, 0.1192627
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.032,2,0.1201687
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.064,2,0.1230614
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.128,2,0.1298350
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.256,2,0.1397627
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.512,2,0.1607440
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,1.024,2,0.1959633
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.016,4, 0.2305472
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.032,4,0.2307245
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.064,4,0.2331951
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.128,4,0.2390501
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.256,4,0.2513658
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.512,4,0.2704612
