nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,related_pin A3,timing_type combinational,timing_sense positive_unate,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.064,2,0.0610090
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.128,2,0.0637427
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.256,2,0.0685911
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.512,2,0.0772883
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,1.024,2,0.0930324
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.016,4, 0.0373496
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.032,4,0.0383325
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.064,4,0.0398973
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.128,4,0.0428075
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.256,4,0.0481473
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.512,4,0.0572256
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,1.024,4,0.0732630
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.016,8, -0.0168628
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.032,8,-0.0154936
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.064,8,-0.0137279
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.128,8,-0.0104964
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.256,8,-0.0047083
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.512,8,0.0053883
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,1.024,8,0.0227099
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.016,0.1,0.0199835
