nom_voltage,nom_temperature,nom_process,related_pin CLK,timing_type setup_rising,rise_constraint,output_load,input_slope,value
0.750000,-40.000000,0.99,1,1,1,0.5120000,0.0320000,0.5055376
0.750000,-40.000000,0.99,1,1,1,1.0240000,0.0320000,0.7170230
0.750000,-40.000000,0.99,1,1,1,0.0160000,0.0640000, 0.2233738
0.750000,-40.000000,0.99,1,1,1,0.0320000,0.0640000,0.2346565
0.750000,-40.000000,0.99,1,1,1,0.0640000,0.0640000,0.2535055
0.750000,-40.000000,0.99,1,1,1,0.1280000,0.0640000,0.2916779
0.750000,-40.000000,0.99,1,1,1,0.2560000,0.0640000,0.3628899
0.750000,-40.000000,0.99,1,1,1,0.5120000,0.0640000,0.4980161
0.750000,-40.000000,0.99,1,1,1,1.0240000,0.0640000,0.7057099
0.750000,-40.000000,0.99,1,1,1,0.0160000,0.1280000, 0.2063234
0.750000,-40.000000,0.99,1,1,1,0.0320000,0.1280000,0.2170357
0.750000,-40.000000,0.99,1,1,1,0.0640000,0.1280000,0.2355214
0.750000,-40.000000,0.99,1,1,1,0.1280000,0.1280000,0.2745929
0.750000,-40.000000,0.99,1,1,1,0.2560000,0.1280000,0.3410936
0.750000,-40.000000,0.99,1,1,1,0.5120000,0.1280000,0.4721828
0.750000,-40.000000,0.99,1,1,1,1.0240000,0.1280000,0.6887200
0.750000,-40.000000,0.99,1,1,1,0.0160000,0.2560000, 0.1612584
0.750000,-40.000000,0.99,1,1,1,0.0320000,0.2560000,0.1686762
0.750000,-40.000000,0.99,1,1,1,0.0640000,0.2560000,0.1915192
0.750000,-40.000000,0.99,1,1,1,0.1280000,0.2560000,0.2252490
0.750000,-40.000000,0.99,1,1,1,0.2560000,0.2560000,0.2962637
0.750000,-40.000000,0.99,1,1,1,0.5120000,0.2560000,0.4240311
0.750000,-40.000000,0.99,1,1,1,1.0240000,0.2560000,0.6354393
0.750000,-40.000000,0.99,1,1,1,0.0160000,0.5120000, 0.0991581
0.750000,-40.000000,0.99,1,1,1,0.0320000,0.5120000,0.1065211
0.750000,-40.000000,0.99,1,1,1,0.0640000,0.5120000,0.1253669
0.750000,-40.000000,0.99,1,1,1,0.1280000,0.5120000,0.1634898
0.750000,-40.000000,0.99,1,1,1,0.2560000,0.5120000,0.2389565
0.750000,-40.000000,0.99,1,1,1,0.5120000,0.5120000,0.3671875
0.750000,-40.000000,0.99,1,1,1,1.0240000,0.5120000,0.5931817
0.750000,-40.000000,0.99,1,1,1,0.0160000,1.0240000, 0.0308633
0.750000,-40.000000,0.99,1,1,1,0.0320000,1.0240000,0.0460387
0.750000,-40.000000,0.99,1,1,1,0.0640000,1.0240000,0.0531657
0.750000,-40.000000,0.99,1,1,1,0.1280000,1.0240000,0.0991505
0.750000,-40.000000,0.99,1,1,1,0.2560000,1.0240000,0.1734093
0.750000,-40.000000,0.99,1,1,1,0.5120000,1.0240000,0.3051408
0.750000,-40.000000,0.99,1,1,1,1.0240000,1.0240000,0.5507813
