nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,related_pin A3,related_pin A4,timing_type combinational,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.128,8,0.0669980
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.256,8,0.0727696
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.512,8,0.0828307
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,1.024,8,0.1000423
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.016,0.1,0.0135404
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.032,0.1,0.0140635
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.064,0.1,0.0150024
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.128,0.1,0.0168348
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.256,0.1,0.0208430
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.512,0.1,0.0296131
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,1.024,0.1,0.0487266
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.016,0.25, 0.0136345
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.032,0.25,0.0141472
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.064,0.25,0.0150193
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.128,0.25,0.0169191
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.256,0.25,0.0209008
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.512,0.25,0.0296386
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,1.024,0.25,0.0487524
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.016,0.5, 0.0145060
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.032,0.5,0.0150138
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.064,0.5,0.0158469
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.128,0.5,0.0176936
