nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,related_pin A3,timing_type combinational,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.256,0.1,0.0223950
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.512,0.1,0.0308900
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,1.024,0.1,0.0496658
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.016,1, 0.0151926
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.032,1,0.0158948
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.064,1,0.0167296
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.128,1,0.0184879
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.256,1,0.0224169
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.512,1,0.0309583
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,1.024,1,0.0496526
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.016,2, 0.0154953
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.032,2,0.0161949
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.064,2,0.0170454
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.128,2,0.0187625
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.256,2,0.0226419
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.512,2,0.0311416
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,1.024,2,0.0498060
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.016,4, 0.0165836
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.032,4,0.0172586
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.064,4,0.0180242
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.128,4,0.0197870
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.256,4,0.0235051
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.512,4,0.0317025
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,1.024,4,0.0500087
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.016,8, 0.0194283
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.032,8,0.0200680
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.064,8,0.0207830
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.128,8,0.0222406
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.256,8,0.0257171
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.512,8,0.0333477
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,1.024,8,0.0511193
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.016,16, 0.0248592
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.032,16,0.0253929
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.064,16,0.0262026
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.128,16,0.0277219
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.256,16,0.0306758
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.512,16,0.0375924
