nom_voltage,nom_temperature,nom_process,related_pin SAVE,related_pin CLK,timing_type removal_falling,timing_type removal_rising,fall_constraint,rise_constraint,output_load,input_slope,value
0.750000,-40.000000,0.99,1,0,1,0,1,0,0.0640000,0.0320000,-10.4758398
0.750000,-40.000000,0.99,1,0,1,0,1,0,0.1280000,0.0320000,-10.4902984
0.750000,-40.000000,0.99,1,0,1,0,1,0,0.2560000,0.0320000,-10.5505222
0.750000,-40.000000,0.99,1,0,1,0,1,0,0.5120000,0.0320000,-10.7008722
0.750000,-40.000000,0.99,1,0,1,0,1,0,1.0240000,0.0320000,-11.0023386
0.750000,-40.000000,0.99,1,0,1,0,1,0,0.0160000,0.0640000, -10.4114379
0.750000,-40.000000,0.99,1,0,1,0,1,0,0.0320000,0.0640000,-10.3992788
0.750000,-40.000000,0.99,1,0,1,0,1,0,0.0640000,0.0640000,-10.4375788
0.750000,-40.000000,0.99,1,0,1,0,1,0,0.1280000,0.0640000,-10.4520375
0.750000,-40.000000,0.99,1,0,1,0,1,0,0.2560000,0.0640000,-10.5122604
0.750000,-40.000000,0.99,1,0,1,0,1,0,0.5120000,0.0640000,-10.6626112
0.750000,-40.000000,0.99,1,0,1,0,1,0,1.0240000,0.0640000,-10.9640768
0.750000,-40.000000,0.99,1,0,1,0,1,0,0.0160000,0.1280000, -10.3659739
0.750000,-40.000000,0.99,1,0,1,0,1,0,0.0320000,0.1280000,-10.3850635
0.750000,-40.000000,0.99,1,0,1,0,1,0,0.0640000,0.1280000,-10.3921147
0.750000,-40.000000,0.99,1,0,1,0,1,0,0.1280000,0.1280000,-10.4065725
0.750000,-40.000000,0.99,1,0,1,0,1,0,0.2560000,0.1280000,-10.4980460
0.750000,-40.000000,0.99,1,0,1,0,1,0,0.5120000,0.1280000,-10.6171463
0.750000,-40.000000,0.99,1,0,1,0,1,0,1.0240000,0.1280000,-10.9186127
0.750000,-40.000000,0.99,1,0,1,0,1,0,0.0160000,0.2560000, -10.2741247
0.750000,-40.000000,0.99,1,0,1,0,1,0,0.0320000,0.2560000,-10.2619655
0.750000,-40.000000,0.99,1,0,1,0,1,0,0.0640000,0.2560000,-10.3002655
0.750000,-40.000000,0.99,1,0,1,0,1,0,0.1280000,0.2560000,-10.3147233
0.750000,-40.000000,0.99,1,0,1,0,1,0,0.2560000,0.2560000,-10.3749471
0.750000,-40.000000,0.99,1,0,1,0,1,0,0.5120000,0.2560000,-10.5252971
0.750000,-40.000000,0.99,1,0,1,0,1,0,1.0240000,0.2560000,-10.8267635
0.750000,-40.000000,0.99,1,0,1,0,1,0,0.0160000,0.5120000, -10.1226734
0.750000,-40.000000,0.99,1,0,1,0,1,0,0.0320000,0.5120000,-10.1417816
0.750000,-40.000000,0.99,1,0,1,0,1,0,0.0640000,0.5120000,-10.1488125
0.750000,-40.000000,0.99,1,0,1,0,1,0,0.1280000,0.5120000,-10.1945226
0.750000,-40.000000,0.99,1,0,1,0,1,0,0.2560000,0.5120000,-10.2547455
0.750000,-40.000000,0.99,1,0,1,0,1,0,0.5120000,0.5120000,-10.4050963
0.750000,-40.000000,0.99,1,0,1,0,1,0,1.0240000,0.5120000,-10.7065627
0.750000,-40.000000,0.99,1,0,1,0,1,0,0.0160000,1.0240000, -9.9449426
0.750000,-40.000000,0.99,1,0,1,0,1,0,0.0320000,1.0240000,-9.9640269
0.750000,-40.000000,0.99,1,0,1,0,1,0,0.0640000,1.0240000,-9.9710853
0.750000,-40.000000,0.99,1,0,1,0,1,0,0.1280000,1.0240000,-9.9855404
0.750000,-40.000000,0.99,1,0,1,0,1,0,0.2560000,1.0240000,-10.0770139
0.750000,-40.000000,0.99,1,0,1,0,1,0,0.5120000,1.0240000,-10.1961142
0.750000,-40.000000,0.99,1,0,1,0,1,0,1.0240000,1.0240000,-10.5288294
0.750000,-40.000000,0.99,0,1,0,1,0,1,0.0160000,0.0160000,0.1640400
0.750000,-40.000000,0.99,0,1,0,1,0,1,0.0320000,0.0160000,0.1564952
0.750000,-40.000000,0.99,0,1,0,1,0,1,0.0640000,0.0160000,0.1416841
0.750000,-40.000000,0.99,0,1,0,1,0,1,0.1280000,0.0160000,0.1194311
0.750000,-40.000000,0.99,0,1,0,1,0,1,0.2560000,0.0160000,0.0787051
0.750000,-40.000000,0.99,0,1,0,1,0,1,0.5120000,0.0160000,0.0172139
0.750000,-40.000000,0.99,0,1,0,1,0,1,1.0240000,0.0160000,-0.0487337
0.750000,-40.000000,0.99,0,1,0,1,0,1,0.0160000,0.0320000, 0.1754262
0.750000,-40.000000,0.99,0,1,0,1,0,1,0.0320000,0.0320000,0.1679300
0.750000,-40.000000,0.99,0,1,0,1,0,1,0.0640000,0.0320000,0.1528653
0.750000,-40.000000,0.99,0,1,0,1,0,1,0.1280000,0.0320000,0.1268564
0.750000,-40.000000,0.99,0,1,0,1,0,1,0.2560000,0.0320000,0.0859608
0.750000,-40.000000,0.99,0,1,0,1,0,1,0.5120000,0.0320000,0.0286002
0.750000,-40.000000,0.99,0,1,0,1,0,1,1.0240000,0.0320000,-0.0423360
0.750000,-40.000000,0.99,0,1,0,1,0,1,0.0160000,0.0640000, 0.1943940
0.750000,-40.000000,0.99,0,1,0,1,0,1,0.0320000,0.0640000,0.1869234
0.750000,-40.000000,0.99,0,1,0,1,0,1,0.0640000,0.0640000,0.1719657
0.750000,-40.000000,0.99,0,1,0,1,0,1,0.1280000,0.0640000,0.1497243
0.750000,-40.000000,0.99,0,1,0,1,0,1,0.2560000,0.0640000,0.1090092
0.750000,-40.000000,0.99,0,1,0,1,0,1,0.5120000,0.0640000,0.0514744
0.750000,-40.000000,0.99,0,1,0,1,0,1,1.0240000,0.0640000,-0.0207268
0.750000,-40.000000,0.99,0,1,0,1,0,1,0.0160000,0.1280000, 0.2358134
0.750000,-40.000000,0.99,0,1,0,1,0,1,0.0320000,0.1280000,0.2283335
0.750000,-40.000000,0.99,0,1,0,1,0,1,0.0640000,0.1280000,0.2136272
0.750000,-40.000000,0.99,0,1,0,1,0,1,0.1280000,0.1280000,0.1909902
0.750000,-40.000000,0.99,0,1,0,1,0,1,0.2560000,0.1280000,0.1508950
0.750000,-40.000000,0.99,0,1,0,1,0,1,0.5120000,0.1280000,0.0925917
0.750000,-40.000000,0.99,0,1,0,1,0,1,1.0240000,0.1280000,0.0206929
0.750000,-40.000000,0.99,0,1,0,1,0,1,0.0160000,0.2560000, 0.3149987
0.750000,-40.000000,0.99,0,1,0,1,0,1,0.0320000,0.2560000,0.3075060
0.750000,-40.000000,0.99,0,1,0,1,0,1,0.0640000,0.2560000,0.2925063
0.750000,-40.000000,0.99,0,1,0,1,0,1,0.1280000,0.2560000,0.2701607
0.750000,-40.000000,0.99,0,1,0,1,0,1,0.2560000,0.2560000,0.2297694
0.750000,-40.000000,0.99,0,1,0,1,0,1,0.5120000,0.2560000,0.1727710
0.750000,-40.000000,0.99,0,1,0,1,0,1,1.0240000,0.2560000,0.0959571
0.750000,-40.000000,0.99,0,1,0,1,0,1,0.0160000,0.5120000, 0.4420792
0.750000,-40.000000,0.99,0,1,0,1,0,1,0.0320000,0.5120000,0.4345355
0.750000,-40.000000,0.99,0,1,0,1,0,1,0.0640000,0.5120000,0.4234529
0.750000,-40.000000,0.99,0,1,0,1,0,1,0.1280000,0.5120000,0.3976403
