nom_voltage,nom_temperature,nom_process,related_pin CLK,timing_type rising_edge,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,0,0,1,0,0.032,0.5,0.0796505
0.850000,125.000000,1.01,1,1,0,0,1,0,0.064,0.5,0.0814847
0.850000,125.000000,1.01,1,1,0,0,1,0,0.128,0.5,0.0849900
0.850000,125.000000,1.01,1,1,0,0,1,0,0.256,0.5,0.0913653
0.850000,125.000000,1.01,1,1,0,0,1,0,0.512,0.5,0.1028075
0.850000,125.000000,1.01,1,1,0,0,1,0,1.024,0.5,0.1226869
0.850000,125.000000,1.01,1,1,0,0,1,0,0.016,1, 0.0854070
0.850000,125.000000,1.01,1,1,0,0,1,0,0.032,1,0.0865341
0.850000,125.000000,1.01,1,1,0,0,1,0,0.064,1,0.0883580
0.850000,125.000000,1.01,1,1,0,0,1,0,0.128,1,0.0918816
0.850000,125.000000,1.01,1,1,0,0,1,0,0.256,1,0.0982990
0.850000,125.000000,1.01,1,1,0,0,1,0,0.512,1,0.1097706
0.850000,125.000000,1.01,1,1,0,0,1,0,1.024,1,0.1296293
0.850000,125.000000,1.01,1,1,0,0,1,0,0.016,2, 0.0951746
0.850000,125.000000,1.01,1,1,0,0,1,0,0.032,2,0.0963271
0.850000,125.000000,1.01,1,1,0,0,1,0,0.064,2,0.0982017
0.850000,125.000000,1.01,1,1,0,0,1,0,0.128,2,0.1017134
0.850000,125.000000,1.01,1,1,0,0,1,0,0.256,2,0.1082827
0.850000,125.000000,1.01,1,1,0,0,1,0,0.512,2,0.1199476
0.850000,125.000000,1.01,1,1,0,0,1,0,1.024,2,0.1400857
0.850000,125.000000,1.01,1,1,0,0,1,0,0.016,4, 0.1083804
0.850000,125.000000,1.01,1,1,0,0,1,0,0.032,4,0.1095611
0.850000,125.000000,1.01,1,1,0,0,1,0,0.064,4,0.1114973
0.850000,125.000000,1.01,1,1,0,0,1,0,0.128,4,0.1152238
0.850000,125.000000,1.01,1,1,0,0,1,0,0.256,4,0.1220876
0.850000,125.000000,1.01,1,1,0,0,1,0,0.512,4,0.1343382
0.850000,125.000000,1.01,1,1,0,0,1,0,1.024,4,0.1552898
0.850000,125.000000,1.01,1,1,0,0,1,0,0.016,8, 0.1248014
