nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,related_pin A3,related_pin A4,related_pin A5,timing_type combinational,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,1.024,1,0.0935846
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.016,2, 0.0763031
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.032,2,0.0772477
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.064,2,0.0783839
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.128,2,0.0804881
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.256,2,0.0843283
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.512,2,0.0912323
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,1.024,2,0.1040451
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.016,4, 0.0875845
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.032,4,0.0886474
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.064,4,0.0899190
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.128,4,0.0922848
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.256,4,0.0966757
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.512,4,0.1041326
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,1.024,4,0.1175524
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.016,8, 0.0998042
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.032,8,0.1010001
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.064,8,0.1024402
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.128,8,0.1051724
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.256,8,0.1101465
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.512,8,0.1190342
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,1.024,8,0.1337249
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.016,16, 0.1114223
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.032,16,0.1127591
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.064,16,0.1143690
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.128,16,0.1174547
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.256,16,0.1231941
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.512,16,0.1334906
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,1.024,16,0.1512211
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.016,0.1,0.0145073
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.032,0.1,0.0151363
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.064,0.1,0.0159898
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.128,0.1,0.0177470
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.256,0.1,0.0215992
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.512,0.1,0.0303219
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,1.024,0.1,0.0492762
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.016,0.5, 0.0146734
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.032,0.5,0.0153040
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.064,0.5,0.0161176
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.128,0.5,0.0178205
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.256,0.5,0.0217038
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.512,0.5,0.0303537
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,1.024,0.5,0.0491825
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.016,1, 0.0161139
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.032,1,0.0167741
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.064,1,0.0175587
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.128,1,0.0191769
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.256,1,0.0228517
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.512,1,0.0310654
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,1.024,1,0.0496859
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.016,2, 0.0204093
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.032,2,0.0209452
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.064,2,0.0216020
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.128,2,0.0231776
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.256,2,0.0264217
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.512,2,0.0339980
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,1.024,2,0.0515666
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.016,4, 0.0284974
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.032,4,0.0290809
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.064,4,0.0298237
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.128,4,0.0313090
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.256,4,0.0343360
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.512,4,0.0413178
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,1.024,4,0.0571922
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.016,8, 0.0424315
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.032,8,0.0434039
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.064,8,0.0441470
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.128,8,0.0457246
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.256,8,0.0486788
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.512,8,0.0555835
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,1.024,8,0.0698544
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.016,16, 0.0675451
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.032,16,0.0681964
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.064,16,0.0689971
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.128,16,0.0705630
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.256,16,0.0733565
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.512,16,0.0804002
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,1.024,16,0.0947143
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.016,0.1,0.0704529
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.032,0.1,0.0716309
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.064,0.1,0.0731254
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.128,0.1,0.0758109
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.256,0.1,0.0806886
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.512,0.1,0.0895076
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,1.024,0.1,0.1052676
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.016,0.5, 0.0731847
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.032,0.5,0.0742983
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.064,0.5,0.0757142
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.128,0.5,0.0784342
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.256,0.5,0.0833839
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.512,0.5,0.0921784
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,1.024,0.5,0.1080190
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.016,1, 0.0796625
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.032,1,0.0808393
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.064,1,0.0822488
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.128,1,0.0849582
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.256,1,0.0898577
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.512,1,0.0985453
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,1.024,1,0.1143666
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.016,2, 0.0884959
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.032,2,0.0896804
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.064,2,0.0911067
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.128,2,0.0938714
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.256,2,0.0989478
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.512,2,0.1078150
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,1.024,2,0.1236249
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.016,4, 0.0992440
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.032,4,0.1004857
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.064,4,0.1019984
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.128,4,0.1049614
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.256,4,0.1102576
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.512,4,0.1196493
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,1.024,4,0.1359949
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.016,8, 0.1105602
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.032,8,0.1117869
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.064,8,0.1136432
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.128,8,0.1166331
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.256,8,0.1223895
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.512,8,0.1329415
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,1.024,8,0.1509535
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.016,16, 0.1212366
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.032,16,0.1226765
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.064,16,0.1247494
