nom_voltage,nom_temperature,nom_process,related_pin SAVE,related_pin CLK,timing_type removal_falling,fall_constraint,rise_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,1,0,0.2560000,0.1280000,-0.8455062
0.850000,125.000000,1.01,1,0,1,1,0,0.5120000,0.1280000,-0.8836534
0.850000,125.000000,1.01,1,0,1,1,0,1.0240000,0.1280000,-0.9440422
0.850000,125.000000,1.01,1,0,1,1,0,0.0160000,0.2560000, -0.7936312
0.850000,125.000000,1.01,1,0,1,1,0,0.0320000,0.2560000,-0.7972737
0.850000,125.000000,1.01,1,0,1,1,0,0.0640000,0.2560000,-0.8052379
0.850000,125.000000,1.01,1,0,1,1,0,0.1280000,0.2560000,-0.8233658
0.850000,125.000000,1.01,1,0,1,1,0,0.2560000,0.2560000,-0.8516175
0.850000,125.000000,1.01,1,0,1,1,0,0.5120000,0.2560000,-0.8900720
0.850000,125.000000,1.01,1,0,1,1,0,1.0240000,0.2560000,-0.9501799
0.850000,125.000000,1.01,1,0,1,1,0,0.0160000,0.5120000, -0.8070773
0.850000,125.000000,1.01,1,0,1,1,0,0.0320000,0.5120000,-0.8107229
0.850000,125.000000,1.01,1,0,1,1,0,0.0640000,0.5120000,-0.8257618
0.850000,125.000000,1.01,1,0,1,1,0,0.1280000,0.5120000,-0.8363685
0.850000,125.000000,1.01,1,0,1,1,0,0.2560000,0.5120000,-0.8653070
0.850000,125.000000,1.01,1,0,1,1,0,0.5120000,0.5120000,-0.9064953
0.850000,125.000000,1.01,1,0,1,1,0,1.0240000,0.5120000,-0.9679100
0.850000,125.000000,1.01,1,0,1,1,0,0.0160000,1.0240000, -0.8413004
0.850000,125.000000,1.01,1,0,1,1,0,0.0320000,1.0240000,-0.8445167
0.850000,125.000000,1.01,1,0,1,1,0,0.0640000,1.0240000,-0.8550619
0.850000,125.000000,1.01,1,0,1,1,0,0.1280000,1.0240000,-0.8736976
0.850000,125.000000,1.01,1,0,1,1,0,0.2560000,1.0240000,-0.8991533
0.850000,125.000000,1.01,1,0,1,1,0,0.5120000,1.0240000,-0.9356114
0.850000,125.000000,1.01,1,0,1,1,0,1.0240000,1.0240000,-0.9968181
0.850000,125.000000,1.01,0,1,1,0,1,0.0160000,0.0160000,0.0039580
0.850000,125.000000,1.01,0,1,1,0,1,0.0320000,0.0160000,0.0001734
0.850000,125.000000,1.01,0,1,1,0,1,0.0640000,0.0160000,0.0008308
0.850000,125.000000,1.01,0,1,1,0,1,0.1280000,0.0160000,-0.0058240
0.850000,125.000000,1.01,0,1,1,0,1,0.2560000,0.0160000,-0.0149483
0.850000,125.000000,1.01,0,1,1,0,1,0.5120000,0.0160000,-0.0335735
0.850000,125.000000,1.01,0,1,1,0,1,1.0240000,0.0160000,-0.0862434
0.850000,125.000000,1.01,0,1,1,0,1,0.0160000,0.0320000, 0.0076083
0.850000,125.000000,1.01,0,1,1,0,1,0.0320000,0.0320000,0.0038583
0.850000,125.000000,1.01,0,1,1,0,1,0.0640000,0.0320000,0.0044022
0.850000,125.000000,1.01,0,1,1,0,1,0.1280000,0.0320000,-0.0022520
0.850000,125.000000,1.01,0,1,1,0,1,0.2560000,0.0320000,-0.0115360
0.850000,125.000000,1.01,0,1,1,0,1,0.5120000,0.0320000,-0.0298636
