nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,timing_type combinational,timing_sense positive_unate,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.016,0.1,0.0235237
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.032,0.1,0.0243022
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.064,0.1,0.0253075
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.128,0.1,0.0273644
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.256,0.1,0.0316700
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.512,0.1,0.0405502
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,1.024,0.1,0.0590973
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.016,0.5, 0.0249609
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.032,0.5,0.0255721
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.064,0.5,0.0265976
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.128,0.5,0.0286539
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.256,0.5,0.0328273
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.512,0.5,0.0413722
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,1.024,0.5,0.0594883
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.016,1, 0.0313249
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.032,1,0.0319294
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.064,1,0.0328508
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.128,1,0.0346120
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.256,1,0.0381828
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.512,1,0.0458359
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,1.024,1,0.0627478
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.016,2, 0.0440841
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.032,2,0.0446477
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.064,2,0.0453387
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.128,2,0.0469354
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.256,2,0.0505320
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.512,2,0.0579577
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,1.024,2,0.0736304
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.016,4, 0.0682167
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.032,4,0.0689282
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.064,4,0.0701823
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.128,4,0.0720071
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.256,4,0.0755654
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.512,4,0.0833220
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,1.024,4,0.0983285
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.016,8, 0.1162347
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.032,8,0.1169169
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.064,8,0.1177567
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.128,8,0.1194301
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.256,8,0.1237884
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.512,8,0.1317701
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,1.024,8,0.1483573
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.016,16, 0.2144169
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.032,16,0.2148763
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.064,16,0.2154203
