nom_voltage,nom_temperature,nom_process,related_pin CLK,timing_type setup_rising,rise_constraint,output_load,input_slope,value
0.750000,-40.000000,0.99,1,1,1,0.2560000,0.5120000,0.0747942
0.750000,-40.000000,0.99,1,1,1,0.5120000,0.5120000,0.1993315
0.750000,-40.000000,0.99,1,1,1,1.0240000,0.5120000,0.3808228
0.750000,-40.000000,0.99,1,1,1,0.0160000,1.0240000,  -0.1974525
0.750000,-40.000000,0.99,1,1,1,0.0320000,1.0240000,-0.1861831
0.750000,-40.000000,0.99,1,1,1,0.0640000,1.0240000,-0.1673391
0.750000,-40.000000,0.99,1,1,1,0.1280000,1.0240000,-0.1290264
0.750000,-40.000000,0.99,1,1,1,0.2560000,1.0240000,-0.0605512
0.750000,-40.000000,0.99,1,1,1,0.5120000,1.0240000,0.0644862
0.750000,-40.000000,0.99,1,1,1,1.0240000,1.0240000,0.2667149
