nom_voltage,nom_temperature,nom_process,related_pin A,timing_type combinational,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.016,0.1,0.0170482
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.032,0.1,0.0229747
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.064,0.1,0.0297786
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.128,0.1,0.0433294
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.256,0.1,0.0703799
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.512,0.1,0.1246610
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,1.024,0.1,0.2327371
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.016,1, 0.0204036
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.032,1,0.0253882
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.064,1,0.0311878
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.128,1,0.0438275
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.256,1,0.0705709
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.512,1,0.1248960
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,1.024,1,0.2333212
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.016,2, 0.0323136
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.032,2,0.0353605
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.064,2,0.0394630
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.128,2,0.0499201
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.256,2,0.0733522
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.512,2,0.1250439
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,1.024,2,0.2334039
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.016,4, 0.0589093
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.032,4,0.0621065
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.064,4,0.0653036
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.128,4,0.0715803
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.256,4,0.0890016
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.512,4,0.1335425
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,1.024,4,0.2347253
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.016,8, 0.1080447
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.032,8,0.1130410
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.064,8,0.1188434
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.128,8,0.1265097
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.256,8,0.1385902
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.512,8,0.1695204
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,1.024,8,0.2552237
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.016,16, 0.2038042
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.032,16,0.2108632
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.064,16,0.2181735
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.128,16,0.2293533
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.256,16,0.2479427
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.512,16,0.2758839
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,1.024,16,0.3313676
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.016,32, 0.3864301
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.032,32,0.3978804
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.064,32,0.4077773
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.128,32,0.4257950
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.256,32,0.4516350
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.512,32,0.4925321
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,1.024,32,0.5486382
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.016,0.1,0.0178889
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.032,0.1,0.0199481
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.064,0.1,0.0222913
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.128,0.1,0.0269412
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.256,0.1,0.0362574
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.512,0.1,0.0547626
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,1.024,0.1,0.0918423
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.016,1, 0.0261057
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.032,1,0.0291216
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.064,1,0.0319663
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.128,1,0.0366772
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.256,1,0.0457288
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.512,1,0.0641365
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,1.024,1,0.1011845
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.016,2, 0.0378765
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.032,2,0.0425499
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.064,2,0.0469411
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.128,2,0.0541410
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.256,2,0.0653027
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.512,2,0.0833079
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,1.024,2,0.1198239
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.016,4, 0.0536769
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.032,4,0.0611121
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.064,4,0.0683435
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.128,4,0.0797915
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.256,4,0.0967911
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.512,4,0.1218233
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,1.024,4,0.1589421
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.016,8, 0.0719450
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.032,8,0.0848493
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.064,8,0.0958836
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.128,8,0.1142654
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.256,8,0.1418636
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.512,8,0.1808045
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,1.024,8,0.2338943
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.016,16, 0.0882805
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.032,16,0.1087370
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.064,16,0.1273431
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.128,16,0.1583060
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.256,16,0.2024822
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.512,16,0.2643249
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,1.024,16,0.3475411
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.016,32, 0.0883277
0.750000,-40.000000,0.99,1,1,1,0,0,1,0,0.032,32,0.1211757
