nom_voltage,nom_temperature,nom_process,related_pin INOUT1,timing_type combinational,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.032,5.70418,0.0025893
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.064,5.70418,0.0036034
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.128,5.70418,0.0056981
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.256,5.70418,0.0099911
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.512,5.70418,0.0190110
0.850000,125.000000,1.01,1,1,1,0,0,1,0,1.024,5.70418,0.0366273
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.016,9.70418, 0.0017686
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.032,9.70418,0.0028513
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.064,9.70418,0.0039246
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.128,9.70418,0.0060457
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.256,9.70418,0.0100690
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.512,9.70418,0.0194189
0.850000,125.000000,1.01,1,1,1,0,0,1,0,1.024,9.70418,0.0373758
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.016,17.7042, 0.0018642
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.032,17.7042,0.0027311
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.064,17.7042,0.0038641
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.128,17.7042,0.0059915
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.256,17.7042,0.0104772
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.512,17.7042,0.0186044
0.850000,125.000000,1.01,1,1,1,0,0,1,0,1.024,17.7042,0.0364116
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.016,33.7042, 0.0019671
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.032,33.7042,0.0027966
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.064,33.7042,0.0038200
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.128,33.7042,0.0060482
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.256,33.7042,0.0105172
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.512,33.7042,0.0187175
0.850000,125.000000,1.01,1,1,1,0,0,1,0,1.024,33.7042,0.0369488
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.016,1.80418,0.0168022
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.032,1.80418,0.0172278
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.064,1.80418,0.0177388
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.128,1.80418,0.0188782
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.256,1.80418,0.0216097
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.512,1.80418,0.0300749
0.850000,125.000000,1.01,1,1,1,0,0,0,1,1.024,1.80418,0.0509999
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.016,2.70418, 0.0327526
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.032,2.70418,0.0331441
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.064,2.70418,0.0336215
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.128,2.70418,0.0346826
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.256,2.70418,0.0370670
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.512,2.70418,0.0424461
0.850000,125.000000,1.01,1,1,1,0,0,0,1,1.024,2.70418,0.0593096
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.016,3.70418, 0.0646073
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.032,3.70418,0.0650054
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.064,3.70418,0.0654121
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.128,3.70418,0.0662903
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.256,3.70418,0.0683893
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.512,3.70418,0.0730878
0.850000,125.000000,1.01,1,1,1,0,0,0,1,1.024,3.70418,0.0837020
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.016,5.70418, 0.1284438
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.032,5.70418,0.1288205
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.064,5.70418,0.1292414
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.128,5.70418,0.1300046
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.256,5.70418,0.1316159
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.512,5.70418,0.1356201
0.850000,125.000000,1.01,1,1,1,0,0,0,1,1.024,5.70418,0.1449493
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.016,9.70418, 0.2561471
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.032,9.70418,0.2565331
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.064,9.70418,0.2569014
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.128,9.70418,0.2576536
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.256,9.70418,0.2591847
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.512,9.70418,0.2622557
