nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,related_pin A3,timing_type combinational,timing_sense negative_unate,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.064,0.25,0.0582362
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.128,0.25,0.0612884
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.256,0.25,0.0667790
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.512,0.25,0.0764186
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,1.024,0.25,0.0935097
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.016,0.5, 0.0581829
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.032,0.5,0.0592442
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.064,0.5,0.0608590
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.128,0.5,0.0638706
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.256,0.5,0.0693499
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.512,0.5,0.0788996
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,1.024,0.5,0.0959117
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.016,1, 0.0604682
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.032,1,0.0615053
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.064,1,0.0631363
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.128,1,0.0662139
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.256,1,0.0718143
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.512,1,0.0815229
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,1.024,1,0.0986135
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.016,2, 0.0595581
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.032,2,0.0606407
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.064,2,0.0624025
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.128,2,0.0656874
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.256,2,0.0716486
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.512,2,0.0819231
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,1.024,2,0.0996079
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.016,4, 0.0497760
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.032,4,0.0509149
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.064,4,0.0527818
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.128,4,0.0564044
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.256,4,0.0630682
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.512,4,0.0746741
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,1.024,4,0.0942879
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.016,8, 0.0190445
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.032,8,0.0202608
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.064,8,0.0222767
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.128,8,0.0262263
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.256,8,0.0336931
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.512,8,0.0472324
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,1.024,8,0.0703865
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,0,1,0.016,0.1,0.0240789
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,0,1,0.032,0.1,0.0247709
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,0,1,0.064,0.1,0.0258951
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,0,1,0.128,0.1,0.0280792
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,0,1,0.256,0.1,0.0329335
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,0,1,0.512,0.1,0.0432653
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,0,1,1.024,0.1,0.0654920
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,0,1,0.016,0.25, 0.0244024
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,0,1,0.032,0.25,0.0249612
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,0,1,0.064,0.25,0.0260976
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,0,1,0.128,0.25,0.0283249
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,0,1,0.256,0.25,0.0331259
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,0,1,0.512,0.25,0.0434341
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,0,1,1.024,0.25,0.0656089
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,0,1,0.016,0.5, 0.0252154
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,0,1,0.032,0.5,0.0257980
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,0,1,0.064,0.5,0.0268839
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,0,1,0.128,0.5,0.0290566
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,0,1,0.256,0.5,0.0338345
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,0,1,0.512,0.5,0.0438909
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,0,1,1.024,0.5,0.0658377
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,0,1,0.016,1, 0.0292803
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,0,1,0.032,1,0.0297806
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,0,1,0.064,1,0.0307068
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,0,1,0.128,1,0.0327948
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,0,1,0.256,1,0.0370974
