nom_voltage,nom_temperature,nom_process,related_pin AP,related_pin INOUT1,timing_type three_state_enable,timing_type three_state_disable,timing_type combinational,timing_sense negative_unate,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0,1,0,0.064,0.721328,0.0044586
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0,1,0,0.128,0.721328,0.0070903
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0,1,0,0.256,0.721328,0.0111337
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0,1,0,0.512,0.721328,0.0170359
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0,1,0,1.024,0.721328,0.0272413
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0,1,0,0.016,0.871328, -0.0025820
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0,1,0,0.032,0.871328,-0.0009802
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0,1,0,0.064,0.871328,0.0013607
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0,1,0,0.128,0.871328,0.0051890
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0,1,0,0.256,0.871328,0.0112443
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0,1,0,0.512,0.871328,0.0201293
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0,1,0,1.024,0.871328,0.0325537
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0,1,0,0.016,1.12133, -0.0142736
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0,1,0,0.032,1.12133,-0.0121059
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0,1,0,0.064,1.12133,-0.0087711
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0,1,0,0.128,1.12133,-0.0031364
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0,1,0,0.256,1.12133,0.0058688
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0,1,0,0.512,1.12133,0.0192316
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0,1,0,1.024,1.12133,0.0379773
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0,1,0,0.016,1.62133, -0.0427245
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0,1,0,0.032,1.62133,-0.0389531
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0,1,0,0.064,1.62133,-0.0340458
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0,1,0,0.128,1.62133,-0.0256887
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0,1,0,0.256,1.62133,-0.0126818
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0,1,0,0.512,1.62133,0.0070175
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0,1,0,1.024,1.62133,0.0347222
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0,1,0,0.016,2.62133, -0.1075698
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0,1,0,0.032,2.62133,-0.1014734
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0,1,0,0.064,2.62133,-0.0936893
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0,1,0,0.128,2.62133,-0.0801643
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0,1,0,0.256,2.62133,-0.0612045
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0,1,0,0.512,2.62133,-0.0326301
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0,1,0,1.024,2.62133,0.0088648
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0,1,0,0.016,4.62133, -0.2526723
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0,1,0,0.032,4.62133,-0.2434549
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0,1,0,0.064,4.62133,-0.2282959
