nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,related_pin A3,timing_type combinational,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.128,32,0.2013443
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.256,32,0.2037768
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.512,32,0.2092985
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,1.024,32,0.2228519
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.016,0.1,0.0462715
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.032,0.1,0.0475360
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.064,0.1,0.0489207
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.128,0.1,0.0516491
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.256,0.1,0.0568283
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.512,0.1,0.0663394
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,1.024,0.1,0.0833881
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.016,1, 0.0526756
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.032,1,0.0538864
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.064,1,0.0553004
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.128,1,0.0579641
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.256,1,0.0630770
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.512,1,0.0724735
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,1.024,1,0.0894204
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.016,2, 0.0666719
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.032,2,0.0678824
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.064,2,0.0692372
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.128,2,0.0718098
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.256,2,0.0766966
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.512,2,0.0857555
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,1.024,2,0.1021974
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.016,4, 0.0892873
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.032,4,0.0905405
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.064,4,0.0919202
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.128,4,0.0946967
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0.256,4,0.1000317
