nom_voltage,nom_temperature,nom_process,related_pin A,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,8,0.0322383
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,8,0.0508674
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,16, 0.0177917
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,16,0.0184555
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,16,0.0192277
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,16,0.0209269
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,16,0.0245986
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,16,0.0328199
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,16,0.0511986
0.850000,125.000000,1.01,1,1,0,0,1,0,0.016,0.1,0.1087785
0.850000,125.000000,1.01,1,1,0,0,1,0,0.032,0.1,0.1099247
0.850000,125.000000,1.01,1,1,0,0,1,0,0.064,0.1,0.1112781
0.850000,125.000000,1.01,1,1,0,0,1,0,0.128,0.1,0.1137774
0.850000,125.000000,1.01,1,1,0,0,1,0,0.256,0.1,0.1183612
0.850000,125.000000,1.01,1,1,0,0,1,0,0.512,0.1,0.1265725
0.850000,125.000000,1.01,1,1,0,0,1,0,1.024,0.1,0.1419387
0.850000,125.000000,1.01,1,1,0,0,1,0,0.016,0.5, 0.1137511
0.850000,125.000000,1.01,1,1,0,0,1,0,0.032,0.5,0.1148600
0.850000,125.000000,1.01,1,1,0,0,1,0,0.064,0.5,0.1162428
0.850000,125.000000,1.01,1,1,0,0,1,0,0.128,0.5,0.1187723
0.850000,125.000000,1.01,1,1,0,0,1,0,0.256,0.5,0.1233481
0.850000,125.000000,1.01,1,1,0,0,1,0,0.512,0.5,0.1315683
0.850000,125.000000,1.01,1,1,0,0,1,0,1.024,0.5,0.1468975
0.850000,125.000000,1.01,1,1,0,0,1,0,0.016,1, 0.1213288
0.850000,125.000000,1.01,1,1,0,0,1,0,0.032,1,0.1224418
0.850000,125.000000,1.01,1,1,0,0,1,0,0.064,1,0.1237229
0.850000,125.000000,1.01,1,1,0,0,1,0,0.128,1,0.1262749
