nom_voltage,nom_temperature,nom_process,related_pin A,related_pin B,related_pin CI,timing_type combinational,timing_sense negative_unate,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.016,0.25, 0.0712230
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.032,0.25,0.0722104
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.064,0.25,0.0738011
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.128,0.25,0.0767253
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.256,0.25,0.0820794
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.512,0.25,0.0914399
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,1.024,0.25,0.1079828
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.016,0.5, 0.0743633
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.032,0.5,0.0753547
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.064,0.5,0.0769194
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.128,0.5,0.0799144
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.256,0.5,0.0852862
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.512,0.5,0.0946526
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,1.024,0.5,0.1112846
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.016,1, 0.0791699
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.032,1,0.0801826
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.064,1,0.0817734
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.128,1,0.0847954
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.256,1,0.0903599
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.512,1,0.0999936
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,1.024,1,0.1167688
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.016,2, 0.0835830
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.032,2,0.0846207
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.064,2,0.0863037
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.128,2,0.0895714
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.256,2,0.0954286
