nom_voltage,nom_temperature,nom_process,related_pin A0,related_pin A1,timing_type combinational,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.064,8,0.0778911
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.128,8,0.0796204
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.256,8,0.0838626
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.512,8,0.0928435
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,1.024,8,0.1102803
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.016,0.1,0.0377886
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.032,0.1,0.0386309
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.064,0.1,0.0399328
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.128,0.1,0.0423577
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.256,0.1,0.0467031
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.512,0.1,0.0546276
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,1.024,0.1,0.0700583
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.016,0.25, 0.0407062
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.032,0.25,0.0415339
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.064,0.25,0.0428790
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.128,0.25,0.0452917
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.256,0.25,0.0496135
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.512,0.25,0.0575368
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,1.024,0.25,0.0729059
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.016,0.5, 0.0439264
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.032,0.5,0.0447912
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.064,0.5,0.0461306
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.128,0.5,0.0486456
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.256,0.5,0.0530981
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.512,0.5,0.0610283
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,1.024,0.5,0.0762976
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.016,1, 0.0465156
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.032,1,0.0474415
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.064,1,0.0488676
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.128,1,0.0515100
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.256,1,0.0562908
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.512,1,0.0645314
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,1.024,1,0.0797100
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.016,2, 0.0466716
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.032,2,0.0476642
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.064,2,0.0492555
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.128,2,0.0522555
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.256,2,0.0575572
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.512,2,0.0668344
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,1.024,2,0.0825992
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.016,4, 0.0415498
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.032,4,0.0426283
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.064,4,0.0443951
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.128,4,0.0478739
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.256,4,0.0540276
