nom_voltage,nom_temperature,nom_process,related_pin CLK,timing_type setup_rising,rise_constraint,fall_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.5120000, 0.0992535
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.5120000,0.0988080
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.5120000,0.1099073
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.5120000,0.1119200
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.5120000,0.1221026
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.5120000,0.1283446
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.5120000,0.1268886
0.850000,125.000000,1.01,1,1,1,0,0.0160000,1.0240000, 0.1325212
0.850000,125.000000,1.01,1,1,1,0,0.0320000,1.0240000,0.1439573
0.850000,125.000000,1.01,1,1,1,0,0.0640000,1.0240000,0.1431750
0.850000,125.000000,1.01,1,1,1,0,0.1280000,1.0240000,0.1500152
0.850000,125.000000,1.01,1,1,1,0,0.2560000,1.0240000,0.1709952
0.850000,125.000000,1.01,1,1,1,0,0.5120000,1.0240000,0.1621739
0.850000,125.000000,1.01,1,1,1,0,1.0240000,1.0240000,0.1679688
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0160000,0.0507909
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0160000,0.0584214
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0160000,0.0653772
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0160000,0.0759747
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0160000,0.0931785
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0160000,0.1195135
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0160000,0.1526521
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0320000, 0.0510839
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0320000,0.0546195
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0320000,0.0616849
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0320000,0.0762818
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0320000,0.0935641
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0320000,0.1160344
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0320000,0.1491581
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0640000, 0.0478009
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0640000,0.0513833
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0640000,0.0623946
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0640000,0.0726483
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0640000,0.0895909
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0640000,0.1166097
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0640000,0.1498126
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.1280000, 0.0488953
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.1280000,0.0526129
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.1280000,0.0596772
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.1280000,0.0742345
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.1280000,0.0915892
