nom_voltage,nom_temperature,nom_process,related_pin A0,related_pin B0,timing_type combinational,timing_sense negative_unate,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.128,2,0.0699074
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.256,2,0.0754265
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.512,2,0.0848893
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,1.024,2,0.1012081
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.016,4, 0.0611044
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.032,4,0.0625570
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.064,4,0.0643601
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.128,4,0.0676352
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.256,4,0.0735859
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.512,4,0.0837730
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,1.024,4,0.1008929
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.016,8, 0.0460351
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.032,8,0.0475456
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.064,8,0.0494039
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.128,8,0.0530045
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.256,8,0.0591793
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.512,8,0.0709810
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,1.024,8,0.0900690
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.016,16, 0.0035837
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.032,16,0.0051280
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.064,16,0.0070313
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.128,16,0.0108375
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.256,16,0.0185190
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.512,16,0.0316972
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,1.024,16,0.0541253
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.016,0.1,0.0213703
