nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,related_pin A3,related_pin A4,timing_type combinational,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,0.512,2,0.0916050
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,1.024,2,0.1047870
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,0.016,4, 0.0945336
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,0.032,4,0.0955761
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,0.064,4,0.0968283
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,0.128,4,0.0991928
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,0.256,4,0.1034959
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,0.512,4,0.1111938
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,1.024,4,0.1247255
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,0.016,8, 0.1216155
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,0.032,8,0.1227918
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,0.064,8,0.1242095
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,0.128,8,0.1269116
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,0.256,8,0.1318703
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,0.512,8,0.1407798
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,1.024,8,0.1557212
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,0.016,16, 0.1640859
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,0.032,16,0.1654095
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,0.064,16,0.1670274
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,0.128,16,0.1701570
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,0.256,16,0.1760175
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,0.512,16,0.1868606
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,1.024,16,0.2043147
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,0.016,0.1,0.0166365
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,0.032,0.1,0.0172874
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,0.064,0.1,0.0181546
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,0.128,0.1,0.0199864
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,0.256,0.1,0.0239375
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,0.512,0.1,0.0325559
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,1.024,0.1,0.0514812
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,0.016,0.5, 0.0168425
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,0.032,0.5,0.0174712
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,0.064,0.5,0.0182961
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,0.128,0.5,0.0201695
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,0.256,0.5,0.0240465
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,0.512,0.5,0.0327154
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,1.024,0.5,0.0515179
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,0.016,1, 0.0185405
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,0.032,1,0.0190715
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,0.064,1,0.0199579
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,0.128,1,0.0216350
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,0.256,1,0.0253902
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,0.512,1,0.0336263
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,1.024,1,0.0519909
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,0.016,2, 0.0227953
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,0.032,2,0.0233771
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,0.064,2,0.0240613
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,0.128,2,0.0255210
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,0.256,2,0.0288855
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,0.512,2,0.0364535
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,1.024,2,0.0539357
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,0.016,4, 0.0310082
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,0.032,4,0.0315155
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,0.064,4,0.0321660
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,0.128,4,0.0335018
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,0.256,4,0.0365417
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,0.512,4,0.0434816
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,1.024,4,0.0593275
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,0.016,8, 0.0448134
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,0.032,8,0.0457348
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,0.064,8,0.0464636
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,0.128,8,0.0479325
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,0.256,8,0.0508156
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,0.512,8,0.0577920
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,1.024,8,0.0721687
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,0.016,16, 0.0708080
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,0.032,16,0.0717689
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,0.064,16,0.0725372
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,0.128,16,0.0741376
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,0.256,16,0.0772132
0.850000,125.000000,1.01,0,1,0,0,1,1,0,1,0,0,0.512,16,0.0844693
