nom_voltage,nom_temperature,nom_process,related_pin D,related_pin ISO,timing_type combinational,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.512,32,0.1312947
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,1.024,32,0.1482681
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.016,64, 0.2097112
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.032,64,0.2102572
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.064,64,0.2104416
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.128,64,0.2119822
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.256,64,0.2155550
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.512,64,0.2234846
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,1.024,64,0.2405290
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.016,0.1,0.0388505
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.032,0.1,0.0400899
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.064,0.1,0.0413766
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.128,0.1,0.0437497
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.256,0.1,0.0482223
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.512,0.1,0.0560330
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,1.024,0.1,0.0701364
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.016,2, 0.0428970
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.032,2,0.0441151
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.064,2,0.0453522
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.128,2,0.0477000
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.256,2,0.0520116
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.512,2,0.0597536
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,1.024,2,0.0737356
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.016,4, 0.0502092
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.032,4,0.0514375
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.064,4,0.0526901
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.128,4,0.0550901
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.256,4,0.0594354
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.512,4,0.0670981
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,1.024,4,0.0807916
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.016,8, 0.0592171
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.032,8,0.0607070
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.064,8,0.0620826
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.128,8,0.0646581
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.256,8,0.0690198
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.512,8,0.0771027
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,1.024,8,0.0912893
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.016,16, 0.0694477
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.032,16,0.0711077
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.064,16,0.0726269
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.128,16,0.0753500
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.256,16,0.0804604
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.512,16,0.0896992
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,1.024,16,0.1057816
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.016,32, 0.0808201
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.032,32,0.0823332
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.064,32,0.0839108
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.128,32,0.0869787
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.256,32,0.0931184
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.512,32,0.1038268
